course_id,course_title,url,level,subject,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,nishu314@gmail.com,talk2nishantn@gmail.com,N@gmail.com,dubeyrahul@gmail.com
1266306,Guitar Insanity Workout - Eatmystrings!,https://www.udemy.com/eatmystrings-guitar-insanity-workout/,All Levels,Musical Instruments,,,2.0,,,,,,4.0,,,5.0,,,,
1170894,How to Design a Logo - a Beginners Course,https://www.udemy.com/how-to-design-a-logo-a-beginners-course/,All Levels,Graphic Design,1.0,,5.0,,3.0,,,4.0,,,,1.0,,,,
948974,Guitar Essentials,https://www.udemy.com/guitar-essentials/,Beginner Level,Musical Instruments,,,3.0,,5.0,,1.0,,1.0,,1.0,,,,,
380970,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,All Levels,Web Development,,,,,,,,1.0,2.0,,,2.0,,,,
1217778,Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/learn-to-design-a-letterhead/,All Levels,Graphic Design,,,,,3.0,,4.0,,1.0,,,,,,,
1246208,Beginner Guitar Method,https://www.udemy.com/beginner-guitar/,Beginner Level,Musical Instruments,,,,,,,3.0,,,,,,,,,
434774,Guitar - Rock - Beginner with Marc Seal,https://www.udemy.com/guitar-rock-beginner-with-marc-seal/,All Levels,Musical Instruments,,2.0,,,5.0,,,,5.0,,,,,,,
308690,Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,All Levels,Web Development,5.0,,,,,,,,,2.0,,2.0,,,,
888716,Guitar - Rock - Beginner/Intermediate with Marc Seal,https://www.udemy.com/guitar-rock-beginner-intermediate-with-marc-seal/,Beginner Level,Musical Instruments,,,,,,,,,,3.0,,,,,,
321410,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,All Levels,Web Development,,,,,,,,1.0,,,1.0,,,,,
965832,Harnessing the Power of Growth Stocks,https://www.udemy.com/harnessing-the-power-of-growth-stocks/,Intermediate Level,Business Finance,,,,,,3.0,,,,3.0,3.0,,,,,
648826,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,Beginner Level,Business Finance,2.0,1.0,5.0,2.0,,,5.0,,,1.0,,5.0,,,,
1035472,Login and Registration from Scratch with PHP and MySQL,https://www.udemy.com/authentication-from-scratch-with-php-and-mysql/,Intermediate Level,Web Development,4.0,4.0,,,,,,,5.0,3.0,,,,,,
1154754,How To Crowdfund,https://www.udemy.com/how-to-crowdfund/,All Levels,Business Finance,,4.0,,,,,5.0,4.0,,2.0,,,,,,
627540,Play Guitar and Understand Music Quick & Easy in 28 Days!,https://www.udemy.com/how-to-play-guitar-really-understand-music/,All Levels,Musical Instruments,,,2.0,3.0,5.0,,,,,4.0,,5.0,,,,
301442,Advanced HTML5 Tutorial for Web Developers,https://www.udemy.com/advanced-html5-for-web-developers/,All Levels,Web Development,,,,,,,,,,3.0,,,,,,
640100,Learn Guitar in 21 Days,https://www.udemy.com/learn-guitar-in-21-days/,Beginner Level,Musical Instruments,,,,1.0,,1.0,3.0,,,,,,,,,
1247394,Piano Improvisation from Day One,https://www.udemy.com/piano-improvisation-from-day-one/,All Levels,Musical Instruments,,,,,,,,,2.0,5.0,5.0,,,,,
260470,Practical Trading on Financial Futures & Options Markets,https://www.udemy.com/getting-started-with-option-spreads/,Beginner Level,Business Finance,3.0,,2.0,,,2.0,,,,,,,,,,
1214702,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,All Levels,Web Development,,,,,,,,,,3.0,,,,,,
848664,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,All Levels,Web Development,,,,,,,,,,,,,,,,
1142570,Discover How to Draw and paint Comics,https://www.udemy.com/learn-to-draw-and-paint/,All Levels,Graphic Design,,,,,5.0,,,1.0,,,5.0,,,,,
325834,The Ultimate Web Development Course,https://www.udemy.com/build-an-instant-update-database-interface-with-jquery-ajax/,All Levels,Web Development,,,5.0,,,,,,1.0,5.0,,,,,,
411168,Mastering HTML5 Programming - The Easier Way,https://www.udemy.com/html5-programming-tutorials/,All Levels,Web Development,,,,,,,,,,1.0,,,,,,
885974,"Kids Coding -Introduction to HTML, CSS and JavaScript",https://www.udemy.com/kids-coding-introduction-to-html-css-and-javascript/,Beginner Level,Web Development,,,,,,,,,,,,1.0,,,,
1151092,Learning JavaScript Programming Tutorial. A Definitive Guide,https://www.udemy.com/programming-javascript/,All Levels,Web Development,3.0,3.0,,,,,,,,3.0,,5.0,,,,
358326,HTML5 APIs For JavaScript - A Course For Web Developers ,https://www.udemy.com/html5-apis-for-javascript-a-course-for-web-developers/,All Levels,Web Development,,,,1.0,,,,,,,,,,,,
153210,Advance Design of Logos and Brand Identity   ,https://www.udemy.com/advance-design-of-logos-and-brand-identity/,All Levels,Graphic Design,,,,,3.0,,4.0,,1.0,,1.0,,,,,
834836,Aprende batería con el nuevo método IDT,https://www.udemy.com/idtbateria/,All Levels,Musical Instruments,,,,,,,,,,4.0,5.0,,,,,
1171994,PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,https://www.udemy.com/learning-php-and-mysql-development-the-easy-way/,All Levels,Web Development,,,,,,2.0,,,,,1.0,4.0,,,,
1239068,Finance and Accounting for Startups,https://www.udemy.com/finance-and-accounting-for-startups/,All Levels,Business Finance,,,,3.0,4.0,,,,2.0,,,,,,,
985922,Aprende a tocar la guitarra,https://www.udemy.com/aprende-a-tocar-la-guitarra/,All Levels,Musical Instruments,,,,,,1.0,,3.0,,3.0,,2.0,,,,
765562,Creating an MP3 Player with HTML5,https://www.udemy.com/creating-an-mp3-player-with-html5/,All Levels,Web Development,5.0,,,3.0,,,,1.0,,1.0,,3.0,,,,
165964,Introduction to Small Business Accounting Training Tutorial,https://www.udemy.com/introduction-to-small-business-accounting-training-tutorial/,Beginner Level,Business Finance,,,,,2.0,,,,,,,,,,,
855172,Profits Turbo,https://www.udemy.com/profits-turbo/,Intermediate Level,Business Finance,1.0,5.0,,2.0,2.0,1.0,,2.0,4.0,,,,,,,
258232,Learn To Program JavaScript (in ten easy steps),https://www.udemy.com/learn-to-program-javascript-in-ten-easy-steps/,Beginner Level,Web Development,3.0,,,,,,,,5.0,,3.0,,,,,
994754,Quick and Quirky Caricatures - Learn in an Hour!,https://www.udemy.com/quick-and-quirky-caricatures/,Beginner Level,Graphic Design,,,3.0,,,,5.0,,,,,,,,,
43319,Essential Options: Strategies for Mastering the Stock Market,https://www.udemy.com/essentialoptions/,Intermediate Level,Business Finance,,,2.0,4.0,,,,,,3.0,,,,,,
408440,Comprehensive Forex Mastery Program,https://www.udemy.com/forex-mastery/,All Levels,Business Finance,,,,5.0,,3.0,,4.0,,,,,,,,
918688,World's Fastest Piano Method - The Piano Revolution!,https://www.udemy.com/decplay-the-fastest-way-to-learn-piano/,Beginner Level,Musical Instruments,,1.0,,,1.0,,1.0,,,,,,,,,
308694,Professional Trader's Mindset - Complete Forex Course,https://www.udemy.com/professional-trader-mindset/,All Levels,Business Finance,,,,4.0,,,,,,,,,,,,
199450,Learn Call Options and Put Options - Introduction to Options,https://www.udemy.com/learn-options-trading-introduction-call-put-options/,Beginner Level,Business Finance,1.0,,,,,,,,,2.0,3.0,,,,,
401784,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,All Levels,Web Development,,,2.0,2.0,4.0,3.0,3.0,,,2.0,,,,,,
1122792,Create a Responsive Business Website with WordPress,https://www.udemy.com/creating-a-business-website-with-a-responsive-design/,All Levels,Web Development,,2.0,5.0,,,1.0,,,,,,,,,,
709500,Getting Started with Playing Guitar,https://www.udemy.com/getting-started-with-playing-guitar/,Beginner Level,Musical Instruments,1.0,,,,,,,,2.0,,,4.0,,,,
285638,Beginners Guide to Playing Guitar - Step-by-step System,https://www.udemy.com/beginners-guide-to-playing-guitar/,Beginner Level,Musical Instruments,,,1.0,,1.0,,,,,,,,,,,
1135126,"Options Foundation - Time Decay, Implied Volatility, Greeks",https://www.udemy.com/learn-options-trading/,Beginner Level,Business Finance,,,,,,,,,,1.0,,1.0,,,,
834558,"Silver, Gold, and Inflation",https://www.udemy.com/got-gold-get-gold-inflation/,Beginner Level,Business Finance,2.0,,,,5.0,,,,5.0,,,1.0,,,,
551968,Buying Call and Put Options - Options beginner strategies,https://www.udemy.com/buy-call-options-buy-put-options-trading-strategies/,Intermediate Level,Business Finance,,,,,,2.0,,,,,,3.0,,,,
1005658,Advanced Finance and Accounting for Startups,https://www.udemy.com/advanced-finance-and-accounting-for-startups/,Intermediate Level,Business Finance,,2.0,,,5.0,,,3.0,,4.0,,,,,,
746432,Options Spreads Bundle-  the heart of Options Trading,https://www.udemy.com/options-spreads-explained/,Intermediate Level,Business Finance,,,,1.0,,,,,,,,,,,,
1057242,Blues and Advanced Guitar Lessons,https://www.udemy.com/blues-and-advanced-guitar-lessons/,All Levels,Musical Instruments,,4.0,3.0,5.0,,3.0,4.0,,,,,2.0,,,,
284118,Old-Time Banjo for the Absolute Beginner,https://www.udemy.com/old-time-banjo-for-the-absolute-beginner/,Beginner Level,Musical Instruments,,,,2.0,,5.0,,,,,1.0,,,,,
302562,Complete Guitar System - Beginner to Advanced,https://www.udemy.com/complete-guitar-system-beginner-to-advanced/,All Levels,Musical Instruments,,,,5.0,,1.0,,1.0,,2.0,4.0,,,,,
596598,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,https://www.udemy.com/advanced-credit-spreads/,Intermediate Level,Business Finance,,,5.0,,,5.0,,1.0,5.0,,3.0,,,,,
860890,"Advanced Options Concepts - Probability, Greeks, Simulation",https://www.udemy.com/advanced-options-analysis/,Intermediate Level,Business Finance,3.0,,,,,,,,,5.0,4.0,4.0,,,,
951050,Technical Analysis - A practical approach for trade entry,https://www.udemy.com/learn-technical-analysis/,Expert Level,Business Finance,,,,,,,,5.0,,,,,,,,
796450,The Basics Of Volume Analysis,https://www.udemy.com/volume-analysis-basis/,All Levels,Business Finance,,,2.0,,4.0,5.0,,,,,,,,,,
502772,Master Iron Condors - Double the credit for half the risk,https://www.udemy.com/iron-condor-options-trading-strategy/,Expert Level,Business Finance,,2.0,,,,,,,,,,,,,,
1102462,"Backspreads, Diagonals and Butterflies - Advanced Strategies",https://www.udemy.com/calendars-diagonals-butterfly-spreads/,Expert Level,Business Finance,,,,3.0,,,,,,,,,,,,
1062092,Straddles and Strangles - Volatility moves in any direction,https://www.udemy.com/straddles-and-strangles/,Expert Level,Business Finance,,5.0,3.0,,,5.0,3.0,,,,,,,,,
891484,La costruzione del budget di una proposta comunitaria,https://www.udemy.com/la-costruzione-del-budget-di-una-proposta-comunitaria/,Intermediate Level,Business Finance,3.0,,,1.0,3.0,,,1.0,,,5.0,,,,,
1217064,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,Beginner Level,Business Finance,,,,,1.0,,,,,,,,,,,
382204,"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,All Levels,Business Finance,,,,,,,,,,,,,,,,
308696,"Buying, Selling, and Storing Precious Metal",https://www.udemy.com/got-gold-get-gold-buying-and-selling-precious-metal/,All Levels,Business Finance,1.0,,,,,1.0,,,4.0,,,,,,,
474928,Master Calendar Spreads with this live trade on Gold (GLD),https://www.udemy.com/calendar-spreads/,Expert Level,Business Finance,5.0,,,,5.0,,,3.0,,,1.0,1.0,,,,
1148774,Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,Expert Level,Business Finance,,,,,,5.0,,,,3.0,,,,,,
959144,Weekly Options and study of Options expiration dynamics,https://www.udemy.com/weekly-options/,Expert Level,Business Finance,1.0,4.0,1.0,2.0,,1.0,2.0,3.0,1.0,,,,,,,
1233350,"Get to know the VIX Index (aka 'The Fear Index)""",https://www.udemy.com/vix-index/,All Levels,Business Finance,,,,,,5.0,3.0,,,,5.0,2.0,,,,
572744,The CSS and CSS3 Crash Course,https://www.udemy.com/the-css-and-css3-crash-course/,All Levels,Web Development,3.0,5.0,,,,,1.0,,,,,,,,,
724062,TechniTrader Leading Hybrid Indicator Trading,https://www.udemy.com/leading-hybrid-indicator-trading/,Intermediate Level,Business Finance,,,3.0,,,,4.0,,,,,,,,,
474212,Rock-Solid Brands,https://www.udemy.com/rock-solid-brands/,Beginner Level,Graphic Design,,2.0,,,,,,,,,,3.0,,,,
771276,Basics of Business Finance,https://www.udemy.com/basics-of-business-finance/,Beginner Level,Business Finance,,,2.0,4.0,,,,,,,,,,,,
388164,Business Accounts For Managers,https://www.udemy.com/business-accounts-for-managers/,Beginner Level,Business Finance,3.0,,,,4.0,,,1.0,,,,3.0,,,,
133536,Photoshop Course: Design an eBook Cover in Photoshop,https://www.udemy.com/ebook-cover-design/,All Levels,Graphic Design,5.0,5.0,2.0,,,,,,,,,,,,,
655300,Use Crowdfunding Effectively With Indiegogo and Kickstarter,https://www.udemy.com/learncrowdfunding/,All Levels,Business Finance,,,,2.0,,,,,,1.0,,,,,,
949504,"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,All Levels,Web Development,,,,,,,,5.0,,,,,,,,
265960,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,Beginner Level,Business Finance,,,,,,2.0,,,5.0,,,,,,,
680044,Essential Skills for Designers - Masking,https://www.udemy.com/photoshop-masking/,All Levels,Graphic Design,1.0,,,3.0,,,,1.0,,,,,,,,
923616,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,All Levels,Business Finance,1.0,4.0,1.0,,4.0,,4.0,,,,,,,,,
741898,Business Analysis:  Working with Use Cases,https://www.udemy.com/usecases/,All Levels,Business Finance,,5.0,,5.0,,,,,,,1.0,,,,,
381330,Become Exceptional in HTML and HTML5,https://www.udemy.com/become-exceptional-in-html-html5/,All Levels,Web Development,,,,,,1.0,,,,,,3.0,,,,
545918,The Complete Wordpress Plugin Development Course - 8 Plugins,https://www.udemy.com/wordpress-plugin-development/,All Levels,Web Development,,5.0,2.0,,,,3.0,5.0,4.0,,,,,,,
191854,HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,Beginner Level,Web Development,,,,,,,,,,1.0,5.0,,,,,
471546,Just chords Piano: Learn to Play Piano Quickly - No Music,https://www.udemy.com/just-chords-piano/,Beginner Level,Musical Instruments,,,,,,,,2.0,,,3.0,,,,,
866584,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",https://www.udemy.com/weekly-forex-analysis-by-baraq-adnan/,All Levels,Business Finance,,,4.0,,,4.0,,2.0,,3.0,,4.0,,,,
889824,The Logo Design Process From Start To Finish,https://www.udemy.com/the-logo-design-process-from-start-to-finish/,All Levels,Graphic Design,,1.0,,,,1.0,,,,,,,,,,
1191504,Beginning Flute Lessons,https://www.udemy.com/beginning-flute-lessons/,Beginner Level,Musical Instruments,,2.0,,,,,,5.0,,1.0,,,,,,
585752,Matemática Financeira de um jeito fácil,https://www.udemy.com/matematica-financeira2/,All Levels,Business Finance,2.0,,,4.0,4.0,,,,2.0,,,,,,,
671578,Bootstrap Basics: Program Responsive Websites,https://www.udemy.com/code-responsive-website-twitter-bootstrap/,All Levels,Web Development,,,,,,,,1.0,,3.0,3.0,,,,,
151668,Guitar for Music Educators: Learning How to Teach Guitar,https://www.udemy.com/guitar-for-music-educators/,Beginner Level,Musical Instruments,,,,,,,,,,,,,,,,
1105344,Essential Skills for Designers - Mastering the Pen Tool,https://www.udemy.com/pen-tool/,All Levels,Graphic Design,,,,,4.0,,,,4.0,,,,,,,
44836,Essential Skills for Designers - Working with Type,https://www.udemy.com/working-with-type/,All Levels,Graphic Design,,,,3.0,,,1.0,,,,5.0,2.0,,,,
840300,3 documentos clave para administrar tu empresa con éxito,https://www.udemy.com/3-documentos-clave-para-administrar-tu-empresa-con-exito/,Intermediate Level,Business Finance,3.0,1.0,,1.0,,,,2.0,,3.0,,,,,,
1100054,Revealed: Profitable Principles of Successful Traders ,https://www.udemy.com/revealed-profitable-secrets-of-successful-traders/,All Levels,Business Finance,1.0,,,2.0,,,,,,,,,,,,
421054,Precious Metal Equities,https://www.udemy.com/precious-metal-equities/,All Levels,Business Finance,,,3.0,,,,,,,,5.0,,,,,
528784,Los 7 Acordes para Tocarlo Todo en un fin de semana,https://www.udemy.com/los-7-acordes-para-tocarlo-todo/,Beginner Level,Musical Instruments,4.0,,2.0,,,2.0,1.0,,,1.0,,,,,,
637430,Surpassing Your Kickstarter Goals,https://www.udemy.com/surpassing-your-kickstarter-goals/,All Levels,Business Finance,,1.0,,,,,4.0,,2.0,,,,,,,
236080,jQuery UI In Depth,https://www.udemy.com/jquery-ui-in-depth/,All Levels,Web Development,4.0,,,,,2.0,,5.0,,,,,,,,
777444,Social Network Web Development,https://www.udemy.com/how-to-create-a-social-network-site-from-scratch/,All Levels,Web Development,1.0,3.0,,4.0,,,,5.0,,,,3.0,,,,
474238,Twitter Bootstrap 2 for Beginners,https://www.udemy.com/twitter-bootstrap/,Beginner Level,Web Development,,,1.0,4.0,,,,,,,,,,,,
1245244,School of Raising Capital: Agile Financial Modeling,https://www.udemy.com/agilefinancialmodeling/,All Levels,Business Finance,,,2.0,,3.0,,,,,,2.0,4.0,,,,
1051570,Drum Set for Beginners,https://www.udemy.com/drum-set-for-beginners/,Beginner Level,Musical Instruments,,,,,,,3.0,,,,,,,,,
262370,Interpreting Financial Statements,https://www.udemy.com/financialstatements/,Beginner Level,Business Finance,2.0,,,,,2.0,,,,,,,,,,
1188178,How to Build a CMS with PHP,https://www.udemy.com/make-a-cms/,Beginner Level,Web Development,,,,,,,1.0,,,1.0,,,,,,
824592,Toon Boom Studio Tutorial - Cartoon Animation Made Simple,https://www.udemy.com/toon-boom-studio-tutorial/,All Levels,Graphic Design,4.0,,,3.0,,1.0,3.0,5.0,4.0,,,,,,,
1147458,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,Beginner Level,Business Finance,,1.0,,,,3.0,3.0,2.0,,,,,,,,
1243448,Coding for Entrepreneurs Basic,https://www.udemy.com/coding-for-entrepreneurs-basic/,Beginner Level,Web Development,,2.0,,,,,,2.0,,,3.0,4.0,,,,
730414,HTML for Beginners,https://www.udemy.com/hmtl5-training/,Beginner Level,Web Development,,,,,,4.0,1.0,1.0,,,,,,,,
252396,Small Business and Managerial Accounting Training Tutorial,https://www.udemy.com/small-business-and-managerial-accounting-training-tutorial/,Beginner Level,Business Finance,,,4.0,,,,,,2.0,,4.0,,,,,
1198166,Best Beginner Guitar Lessons by Sam Lyons,https://www.udemy.com/best-beginner-guitar-lessons-by-sam-lyons-udemy/,All Levels,Musical Instruments,,,2.0,,,,3.0,4.0,,,,,,,,
920604,Learn to Use jQuery UI Widgets,https://www.udemy.com/learn-to-use-jquery-ui-widgets/,Beginner Level,Web Development,,5.0,,,2.0,1.0,,4.0,5.0,,,3.0,,,,
215728,"Improvise Puccini´s 'E Lucevan le Stelle on Piano""",https://www.udemy.com/compose-and-improvise-through-puccini/,All Levels,Musical Instruments,,,1.0,,,,,,,5.0,,,,,,
722174,How to Draw Cute Cartoon Characters,https://www.udemy.com/draw-cute-characters/,All Levels,Graphic Design,4.0,,,,1.0,,,,4.0,5.0,,1.0,,,,
48841,Anatomy for Figure Drawing: Mastering the Human Figure,https://www.udemy.com/anatomy-for-figure-drawing-and-comics/,All Levels,Graphic Design,,,,,5.0,,,,3.0,,,,,,,
907444,1 Hour JavaScript,https://www.udemy.com/1-hour-javascript/,Beginner Level,Web Development,4.0,1.0,,3.0,,,,3.0,,,5.0,,,,,
317030,create 9 professional logo design full version,https://www.udemy.com/create-9-professional-logo-design-full-version-beginner/,All Levels,Graphic Design,5.0,,3.0,5.0,,,,,,,,,,,,
891490,iPhone icons in iOS7 - learn flat design,https://www.udemy.com/iphone-icon-secrets-flat-design/,All Levels,Graphic Design,3.0,,5.0,,3.0,,,,5.0,1.0,,,,,,
1070886,Trading: How Transformative Learning Drives Expertise,https://www.udemy.com/trading-how-transformative-learning-drives-expertise/,All Levels,Business Finance,,,,,2.0,,,,2.0,,,,,,,
812616,1 Hour HTML,https://www.udemy.com/1-hour-html/,Beginner Level,Web Development,3.0,,,,,,,,,,,,,,,
407984,Gospel Piano Essentials,https://www.udemy.com/gospel-piano-essentials/,Intermediate Level,Musical Instruments,,,,5.0,,,,4.0,,,,2.0,,,,
214046,1 Hour CSS,https://www.udemy.com/1-hour-css/,Beginner Level,Web Development,,,,,,,,,,,,1.0,,,,
512400,Professional Risk Manager (PRM) Certification: Level 1,https://www.udemy.com/professional-risk-manager-prm-certification-level-1/,All Levels,Business Finance,,1.0,,2.0,,,,,,,5.0,,,,,
377370,Virtual Piano Lessons - A New Way To Learn Piano,https://www.udemy.com/virtual-piano-lessons-a-new-way-to-learn-piano/,All Levels,Musical Instruments,,5.0,,,,,,,,,,,,,,
1175694,Professional Risk Manager (PRM) Certification: Level 2,https://www.udemy.com/professional-risk-manager-prm-certification-level-2/,All Levels,Business Finance,,,,,,4.0,,,,,,,,,,
945750,Professional Risk Manager (PRM) Certification: Level 3,https://www.udemy.com/professional-risk-manager-prm-certification-level-3/,All Levels,Business Finance,,,,,,,,,4.0,,,5.0,,,,
1085580,Professional Risk Manager (PRM) Certification: Level 4,https://www.udemy.com/professional-risk-manager-prm-certification-level-4/,All Levels,Business Finance,,,,4.0,,,,3.0,,,,,,,,
1188410,Web Development By Doing: HTML / CSS From Scratch,https://www.udemy.com/web-development-learn-by-doing-html5-css3-from-scratch-introductory/,Beginner Level,Web Development,,,4.0,,,,,,,,,,,,,
402836,Web Development: Make A Website That Will Sell For Thousands,https://www.udemy.com/web-development-by-doing-html5-css3-complete-from-scratch/,All Levels,Web Development,,,3.0,,,,,,1.0,,,,,,,
588764,Kids Coding - Beginner HTML,https://www.udemy.com/kids-coding-beginner-html/,Beginner Level,Web Development,,,,,,5.0,,,,,,,,,,
576946,Kids Coding - Beginners CSS,https://www.udemy.com/kids-coding-beginners-css/,All Levels,Web Development,5.0,,,,,,3.0,,,,1.0,,,,,
543242,Learn to create beautiful web interfaces and logos,https://www.udemy.com/how-to-create-beautiful-web-designs/,All Levels,Graphic Design,,2.0,,,,3.0,,,,,5.0,,,,,
502240,Financial Risk Manager (FRM) Certification: Level II,https://www.udemy.com/financial-risk-manager-frm-certification-level-ii/,All Levels,Business Finance,,,,,4.0,,,,,,,,,,,
