ints_id,title,company,location,link,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,nishu314@gmail.com,talk2nishantn@gmail.com,N@gmail.com,dubeyrahul@gmail.com
78,Campus Ambassador,Kalpaarts,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,,2.0,,,,,,3.0,,,,
79,IT Sales & Marketing,Idea Usher,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,2.0,,,5.0,,,3.0,,4.0,,,,,,
80,Outreach/Business Development,Youth India Foundation E-School,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,1.0,,,,,,,,,,,,
81,Business Development (Sales),Molecular Connections Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,4.0,3.0,5.0,,3.0,4.0,,,,,2.0,,,,
82,Marketing,Mplan Media,Bangalore,https://internshala.com/internships/marketing-internship/page-2,,,,2.0,,5.0,,,,,1.0,,,,,
83,#MyCareerMyChoice,Say no to career stereotypes! Say yes to being you!,,https://internshala.com/internships/marketing-internship/page-3,,,,5.0,,1.0,,1.0,,2.0,4.0,,,,,
84,Business Development (Sales),Skillr,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,5.0,,,5.0,,1.0,5.0,,3.0,,,,,
85,Business Development (Sales),Bunk Tribe Holidays Private Limited,"Delhi, Noida",https://internshala.com/internships/marketing-internship/page-3,3.0,,,,,,,,,5.0,4.0,4.0,,,,
86,Campus Ambassador,Kounselo,"Chennai, Dehradun, Delhi, Kolkata, Bangalore, Hyderabad, Mumbai",https://internshala.com/internships/marketing-internship/page-3,,,,,,,,5.0,,,,,,,,
87,Marketing,Drunken Monkey,Hyderabad,https://internshala.com/internships/marketing-internship/page-3,,,2.0,,4.0,5.0,,,,,,,,,,
88,Marketing,Stock Market Institute,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,2.0,,,,,,,,,,,,,,
89,Business Development (Sales),The ITCD,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,3.0,,,,,,,,,,,,
90,Business Development (Sales),DigitaArch.com,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,5.0,3.0,,,5.0,3.0,,,,,,,,,
91,Volunteering,The Apprentice Project,Work From Home,https://internshala.com/internships/marketing-internship/page-3,3.0,,,1.0,3.0,,,1.0,,,5.0,,,,,
92,Marketing,Prepnova,"Ahmedabad, Chandigarh, Chennai, Dehradun, Delhi, Gurgaon, Kochi (Japan), Kolkata, Pune, Bangalore, Hyderabad, Mumbai, Jaipur, Noida, Raipur",https://internshala.com/internships/marketing-internship/page-3,,,,,1.0,,,,,,,,,,,
93,Marketing,Prepnova,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,,,,,,,,,,,
94,Campus Ambassador,KoinSource,Work From Home,https://internshala.com/internships/marketing-internship/page-3,1.0,,,,,1.0,,,4.0,,,,,,,
95,Business Development (Sales),Lalit Jain,Indore,https://internshala.com/internships/marketing-internship/page-3,5.0,,,,5.0,,,3.0,,,1.0,1.0,,,,
96,Marketing,Ready Wealth,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,5.0,,,,3.0,,,,,,
97,Business Development (Sales),M M Equipments,Bangalore,https://internshala.com/internships/marketing-internship/page-3,1.0,4.0,1.0,2.0,,1.0,2.0,3.0,1.0,,,,,,,
98,Business Development (Sales),Go4WorldBusiness (Wyzen Systems Private Limited),"Faridabad, Delhi",https://internshala.com/internships/marketing-internship/page-3,,,,,,5.0,3.0,,,,5.0,2.0,,,,
99,Marketing,PickYourTrail,Chennai,https://internshala.com/internships/marketing-internship/page-3,3.0,5.0,,,,,1.0,,,,,,,,,
100,Business Development (Sales),Operon Biotech And Healthcare,"Kolkata, Bangalore, Mumbai, Noida, Cochin",https://internshala.com/internships/marketing-internship/page-3,,,3.0,,,,4.0,,,,,,,,,
101,Business Development (Sales),One Stop Biology,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,2.0,,,,,,,,,,3.0,,,,
102,Marketing,Market Search India,Mumbai,https://internshala.com/internships/marketing-internship/page-3,,,2.0,4.0,,,,,,,,,,,,
103,Business Development (Sales),Udhaivi Healthcare India Private Limited,Bangalore,https://internshala.com/internships/marketing-internship/page-3,3.0,,,,4.0,,,1.0,,,,3.0,,,,
104,Business Development (Sales),Markoknow,Work From Home,https://internshala.com/internships/marketing-internship/page-3,5.0,5.0,2.0,,,,,,,,,,,,,
105,Business Development (Sales),Avathi Ventures Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,2.0,,,,,,1.0,,,,,,
106,Business Development (Sales),Zansys Technologies,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,,,5.0,,,,,,,,
107,Marketing,SAPKAI Consulting LLP,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,2.0,,,5.0,,,,,,,
108,Affiliate Marketing,Palm Insurance Brokers Private Limited,"Delhi, Gurgaon, Noida",https://internshala.com/internships/marketing-internship/page-3,1.0,,,3.0,,,,1.0,,,,,,,,
109,Business Development (Sales),Ivy Professional School,"Delhi, Kolkata, Pune, Bangalore, Mumbai",https://internshala.com/internships/marketing-internship/page-3,1.0,4.0,1.0,,4.0,,4.0,,,,,,,,,
110,Marketing,Yali Mobility Private Limited,Chennai,https://internshala.com/internships/marketing-internship/page-3,,5.0,,5.0,,,,,,,1.0,,,,,
111,Business Development (Sales),AccounString Management Private Limited,Mumbai,https://internshala.com/internships/marketing-internship/page-3,,,,,,1.0,,,,,,3.0,,,,
112,Business Development (Sales),Talent Gym,Indore,https://internshala.com/internships/marketing-internship/page-3,,5.0,2.0,,,,3.0,5.0,4.0,,,,,,,
113,Business Development (Sales),Innovative Digital Lab,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,,,,,1.0,5.0,,,,,
114,Business Development (Sales),WebVijay,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,,,2.0,,,3.0,,,,,
115,Marketing,Meow,"Delhi, Ghaziabad, Noida",https://internshala.com/internships/marketing-internship/page-3,,,4.0,,,4.0,,2.0,,3.0,,4.0,,,,
116,Business Development (Sales),Karishma Kirpalani,Mumbai,https://internshala.com/internships/marketing-internship/page-3,,1.0,,,,1.0,,,,,,,,,,
117,Business Development (Sales),WRYinc,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,2.0,,,,,,5.0,,1.0,,,,,,
118,Sales,Simmi Foundation Organization,Work From Home,https://internshala.com/internships/marketing-internship/page-3,2.0,,,4.0,4.0,,,,2.0,,,,,,,
119,Marketing,Simmi Foundation Organization,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,,,1.0,,3.0,3.0,,,,,
120,Business Development (Sales),Simmi Foundation Organization,Work From Home,https://internshala.com/internships/marketing-internship/page-3,,,,,,,,,,,,,,,,
121,Business Development (Sales),ROI Magnet,Pune,https://internshala.com/internships/marketing-internship/page-3,,,,,4.0,,,,4.0,,,,,,,
122,Marketing,Sharp Agency,Surat,https://internshala.com/internships/marketing-internship/page-3,,,,3.0,,,1.0,,,,5.0,2.0,,,,
123,Marketing,Simmi Foundation Organization,Work From Home,https://internshala.com/internships/marketing-internship/page-3,3.0,1.0,,1.0,,,,2.0,,3.0,,,,,,
124,#MyCareerMyChoice,Say no to career stereotypes! Say yes to being you!,,https://internshala.com/internships/marketing-internship/page-4,1.0,,,2.0,,,,,,,,,,,,
125,Business Development (Sales),Innoval Fintech Private Limited,Mumbai,https://internshala.com/internships/marketing-internship/page-4,,,3.0,,,,,,,,5.0,,,,,
126,Business Development (Sales),Brand & Image Studio,Pune,https://internshala.com/internships/marketing-internship/page-4,4.0,,2.0,,,2.0,1.0,,,1.0,,,,,,
127,Business Development (Sales),Pplwork,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,1.0,,,,,4.0,,2.0,,,,,,,
128,Business Development (Sales),Chemdom,"Ahmedabad, Mehsana, Rajkot, Vapi, Vadodara, Ankleshwar, Bharuch, Dahej, Valsad",https://internshala.com/internships/marketing-internship/page-4,4.0,,,,,2.0,,5.0,,,,,,,,
129,Business Development (Sales),WheelsToVet,Indore,https://internshala.com/internships/marketing-internship/page-4,1.0,3.0,,4.0,,,,5.0,,,,3.0,,,,
130,Business Development (Sales),IQ Infotech & Co,Noida,https://internshala.com/internships/marketing-internship/page-4,,,1.0,4.0,,,,,,,,,,,,
131,Growth Marketing & On Ground Promotion,EMBEBO,"Ambala, Amritsar, Bathinda, Jalandhar, Karnal, Ludhiana, Kurukshetra, Pathankot, Yamuna Nagar, Hisar",https://internshala.com/internships/marketing-internship/page-4,,,2.0,,3.0,,,,,,2.0,4.0,,,,
132,Business Development (Sales),Springfit Mattress Pvt Ltd,"Kolkata, Mysuru, Patna, Bangalore, Mumbai",https://internshala.com/internships/marketing-internship/page-4,,,,,,,3.0,,,,,,,,,
133,Business Development (Sales),Mileenia,Work From Home,https://internshala.com/internships/marketing-internship/page-4,2.0,,,,,2.0,,,,,,,,,,
134,Business Development (Sales),OaKInnovatica,Pune,https://internshala.com/internships/marketing-internship/page-4,,,,,,,1.0,,,1.0,,,,,,
135,Online Product Demonstration,Kankei Relationship Marketing Services Private Limited,Mumbai,https://internshala.com/internships/marketing-internship/page-4,4.0,,,3.0,,1.0,3.0,5.0,4.0,,,,,,,
136,Marketing,Primary Healthtech,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,1.0,,,,3.0,3.0,2.0,,,,,,,,
137,Business Development (Sales),Medwiser,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,2.0,,,,,,2.0,,,3.0,4.0,,,,
138,Marketing,Heiphen,Delhi,https://internshala.com/internships/marketing-internship/page-4,,,,,,4.0,1.0,1.0,,,,,,,,
139,Business Development (Sales),Universal Tribes,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,,4.0,,,,,,2.0,,4.0,,,,,
140,Business Development (Sales),The Swastik Pharmaceuticals,"Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai, Vijayawada, Vishakhapatnam",https://internshala.com/internships/marketing-internship/page-4,,,2.0,,,,3.0,4.0,,,,,,,,
141,Marketing,eWards,Kolkata,https://internshala.com/internships/marketing-internship/page-4,,5.0,,,2.0,1.0,,4.0,5.0,,,3.0,,,,
142,Business Development (Sales),Liveasy,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,,1.0,,,,,,,5.0,,,,,,
143,Product Marketing,PeopleHum,Mumbai,https://internshala.com/internships/marketing-internship/page-4,4.0,,,,1.0,,,,4.0,5.0,,1.0,,,,
144,Business Development (Sales),Pase Solutions Private Limited,Bhopal,https://internshala.com/internships/marketing-internship/page-4,,,,,5.0,,,,3.0,,,,,,,
145,Marketing,Namosri Ventures Private Limited,Mumbai,https://internshala.com/internships/marketing-internship/page-4,4.0,1.0,,3.0,,,,3.0,,,5.0,,,,,
146,Product Marketing,Engati Technologies,Mumbai,https://internshala.com/internships/marketing-internship/page-4,5.0,,3.0,5.0,,,,,,,,,,,,
147,Business Development (Sales),Pa Say Webscript Technologies Private Limited,Bhopal,https://internshala.com/internships/marketing-internship/page-4,3.0,,5.0,,3.0,,,,5.0,1.0,,,,,,
148,Business Development (Sales),Namastay,Mumbai,https://internshala.com/internships/marketing-internship/page-4,,,,,2.0,,,,2.0,,,,,,,
149,Campus Ambassador,Growfitter,Work From Home,https://internshala.com/internships/marketing-internship/page-4,3.0,,,,,,,,,,,,,,,
150,Marketing & Market Research,Himenviro Environmental Engineering Company Private Limited,Noida,https://internshala.com/internships/marketing-internship/page-4,,,,5.0,,,,4.0,,,,2.0,,,,
151,Business Development (Sales),Wootique - Kantilal And Sons,Mumbai,https://internshala.com/internships/marketing-internship/page-4,,,,,,,,,,,,1.0,,,,
152,Campus Ambassador,Hotnot,"Delhi, Kolkata, Bangalore, Hyderabad, Mumbai",https://internshala.com/internships/marketing-internship/page-4,,1.0,,2.0,,,,,,,5.0,,,,,
153,Business Development (Sales),Green Delight Innovations Private Limited,"Coimbatore, Erode, Pollachi, Tiruchengode, Tiruppur, Mettupalayam, Perundurai, Salem, Coimbatore North, Coimbatore South, Palladam",https://internshala.com/internships/marketing-internship/page-4,,5.0,,,,,,,,,,,,,,
154,Business Development (Sales),Xperge,Mohali,https://internshala.com/internships/marketing-internship/page-4,,,,,,4.0,,,,,,,,,,
155,Marketing,Mystro,Mumbai,https://internshala.com/internships/marketing-internship/page-4,,,,,,,,,4.0,,,5.0,,,,
156,Business Development (Sales),Dreamstick,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,,,4.0,,,,3.0,,,,,,,,
157,Business Analysis (Post Sales),Techno Softwares,Jaipur,https://internshala.com/internships/marketing-internship/page-4,,,4.0,,,,,,,,,,,,,
158,Marketing,Yoket,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,,3.0,,,,,,1.0,,,,,,,
159,Marketing,InfraRanking,Delhi,https://internshala.com/internships/marketing-internship/page-4,,,,,,5.0,,,,,,,,,,
160,Marketing,Akash Dubey,Work From Home,https://internshala.com/internships/marketing-internship/page-4,5.0,,,,,,3.0,,,,1.0,,,,,
161,Campus Ambassador,UPSC GUIDE,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,2.0,,,,3.0,,,,,5.0,,,,,
162,Business Development (Sales),RocSearch,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,,,,4.0,,,,,,,,,,,
163,Business Development (Sales),Inweave Furnishing,Delhi,https://internshala.com/internships/marketing-internship/page-4,,3.0,,,1.0,,,1.0,,5.0,,4.0,,,,
164,Campus Ambassador,Cricket Bleeds,Work From Home,https://internshala.com/internships/marketing-internship/page-4,,4.0,,,,,2.0,1.0,,,,,,,,
165,#MyCareerMyChoice,Say no to career stereotypes! Say yes to being you!,,https://internshala.com/internships/marketing-internship/page-5,,,,,,,,5.0,,,,3.0,,,,
166,Campus Ambassador,Careers360,Work From Home,https://internshala.com/internships/marketing-internship/page-5,,,,,,,,,,,,,,,,
167,Campus Ambassador,Technotreon Intellectual Ventures,Work From Home,https://internshala.com/internships/marketing-internship/page-5,,,,,,,,,1.0,,5.0,,,,,
168,Business Development (Sales),LEGACY Research Solutions,Work From Home,https://internshala.com/internships/marketing-internship/page-5,,,5.0,,3.0,,,,2.0,,,,,,,
169,Campus Ambassador,Aarogita Health & Wellness Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-5,,,,,1.0,,,,5.0,,,,,,,
170,Campus Ambassador,Adorta,"Agra, Ajmer, Indore, Pune, Bhopal, Mumbai, Jaipur, Noida, Haryana, Rajasthan",https://internshala.com/internships/marketing-internship/page-5,,,,,,,3.0,5.0,4.0,,,,,,,
171,Marketing,HRithmetic Solutions,Work From Home,https://internshala.com/internships/marketing-internship/page-5,4.0,,3.0,,,5.0,,,,,,5.0,,,,
172,Business Development (Sales),Quantazone Software Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-5,5.0,,,,,,,,,,,,,,,
173,Marketing,Jhanvi  Pal,Korba,https://internshala.com/internships/marketing-internship/page-5,,4.0,,,3.0,,,,,,,,,,,
174,Marketing,ALMI Production Land Solar Private Limited,Chennai,https://internshala.com/internships/marketing-internship/page-5,,4.0,,,,,,,,,,,,,,
175,Business Development (Sales),Webtechage Private Limited,"Delhi, Ghaziabad, Greater Noida, Noida, Haridwar",https://internshala.com/internships/marketing-internship/page-5,,,,,3.0,,2.0,,,,,,,,,
