,skills
180,",Javascript,CSS,Front End,MySQL,Websockets,Web Services"
181,
182,
183,",Azure Databricks,BI Projects,azure,Azure Data Lake"
184,",OOP,Siebel Tools,SQL,HTML,OOD,Javascript"
185,",Microservices,Java,PLSQL"
186,",Spring Boot,Rest Api,GIT,NoSQL,Agile,Cloud"
187,",Microservices,Java,PLSQL"
188,
189,
190,",HTML5,CSS3,React.js,Flux,Node.js,Javascript"
191,",Appian,BPM,SQL,Jenkins,SAIL,WebAPI"
192,
193,
194,",SQL,Auditing,Windows,Financial services,Oracle,Analytical"
195,
196,
197,
198,
199,
200,",Uipath,Rpa,Java,C++,c#"
201,",C++,C,Software Development,Software Engineering,Networking"
202,",C++,C,Software Development,Software Engineering,Networking"
203,",SQL Server,Azure Databricks,Tabular Model"
204,",Javascript,Devops,MongoDB,CI,Rest,AWS"
205,",SQL,Microservices,Shell Scripting,Mac,Linux,Go"
206,",XSLT,C,Duckcreek,Duckcreek Policy,Duckcreek Claims,Duckcreek Billing"
207,",Consulting,Primary Skills,Effort Estimation,Vendor Evaluation,Problem Solving,Mendix"
208,",Business Process Management,Primary Skills,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation"
209,",Design Principles,Digital Transformation,Primary Skills,Software Engineering,Technical Analysis,Test Cases"
210,",Credit Risk,Statistical Modeling,Model Validation,Scorecard,SAS,Risk Modeler"
211,",axiom,axiom controller view,Sql"
212,",Credit Risk,Statistical Modeling,Model Validation,Scorecard,SAS,Risk Modeler"
213,",Javascript,Devops,MongoDB,CI,Rest,AWS"
214,",Stored Procedures,T-SQL,SSIS,SQL Server,SSRS,Cursor"
215,
216,",Stored Procedures,T-SQL,SSIS,SQL Server,SSRS,Cursor"
217,",Project Life Cycle,Software Quality Assurance,Agile,Test Planning,Design Principles,Unit Testing"
218,",Backend,Analytics,SQL,HTML,XML,Windows"
219,",Project Life Cycle,Software Quality Assurance,Agile,Test Planning,Design Principles,Unit Testing"
220,",AutoCAD,Engineering Design,ANSI,Switchgear,MCC,Manufacturing process,Circuit breakers,Electrical engineering,Infrastructure,Manager Technology"
221,
222,",Design Development,Digital Transformation,AWS,SDLC,agile,performance engineering"
223,",Windows,Python,Firmware,Wireless,Visual Studio,WiFi"
224,
225,",Machine Learning,Computer Vision,Pattern Recognition,Image Processing,ML topologies"
226,",Machine Learning,Computer Vision,Pattern Recognition,Image Processing,ML topologies"
227,
228,",Leadership development,Process quality,Management,Advisory,Cost"
229,",SCALA,Java,Kafka"
230,",Javascript,Node.Js,Graphql,Jest,UI Testing,React.Js"
231,",Instructional Design,instructional designer,Learning experience developer,instructional designing"
232,
233,
234,",SQL Server,ASP.Net MVC,C#,WCF,Web Api,.Net Core"
235,",C#.Net,Rpa,Uipath,a2019,a360,Automation Anywhere"
236,
237,",Python,Web development,Agile,Investment banking,Fixed income,Financial services"
238,",Consulting,Digital Transformation,Solution Design,Technology Solutions,Problem Solving,JBPM"
239,",Consulting,Digital Transformation,Effort Estimation,Vendor Evaluation,WMS"
240,",React.Js,Node.Js"
241,",Oracle,Scheduling,Data modeling,MS SQL,MySQL,Oracle SQL"
242,",Oracle,SQL,Db2,Apache,big data,spark"
243,",SQL,Unix,Informatica,Teradata,Unix shell scripting,Data warehousing"
244,",LDAP,Active directory,Mobile applications,Web technologies,Management,SAML"
245,",Vue,Javascript,HTML"
246,",Python,Open source,Agile,Scrum,Data modeling,Hadoop"
247,",Cloud,Data warehousing,Deployment"
248,",LDAP,Active directory,Mobile applications,Web technologies,Management,SAML"
249,",Web Api,Angular,Front End,ASP.Net,C#,SQL Server"
250,",Hibernate,Java,Spring Boot,Spring Mvc,Microservices,Spring Framework,JSF,Activiti,JBPM,Web Services,SOA,Spark,Bpm"
251,
252,
253,",Java EE,Spring,J2Ee,Camunda Bpm,Rest,Bpmn"
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,",Unix,SQL,Linux,SCALA,Hadoop,data domain"
265,",JMS,Linux,Python,Automation,Software development life cycle,spark"
266,",Javascript,HTML,SFDC,Rest,SOAP,Java"
267,",Azure Databricks,Pyspark,Delta Lake"
268,",Javascript,DOM,Redux,Jest,Highcharts,Rest Api"
269,",Hibernate,Spring Boot,Core Java,JPA,Restful Webservices,Web Services"
270,",Salesforce Cpq,Spring CM,CPQ API"
271,",Internship,Consulting,Salesforce,Machine learning,Backend,Ticketing"
272,
273,
274,
275,",Internship,Consulting,Salesforce,Machine learning,Backend,Ticketing"
276,",Canoe,Embedded C,Canalyzer,TRACE32,AUTOSAR,LIN"
277,",Change management,Financial services,human capital,Asset management,Analytics,Process improvement"
278,",Github,Jenkins,CI,Typescript,Javascript,AWS"
279,
280,",Embedded C,SPI,I2C,Adc,Embedded Software Development,Gpio"
281,",Cloud Developer,SOA architectures,JSON,XML,Software Development,GCP"
282,
283,
284,",Web Services,Javascript,Microservices,Restful Webservices,Container,SOA"
285,",Talent Development,LMS,Training Management,Corporate Training,Leadership Development,Leadership Training"
286,
287,
288,
289,
290,",Embedded,C++,Linux"
291,",Embedded,C++,Linux"
292,
293,
294,",Automation,JMS,Open source,Consulting,ISO,Application packaging"
295,
296,",Consulting,Animation,DTS,DOM,SVG,webgl"
297,
298,",Networking,Android,Agile,Visual Studio,SDK,Project planning"
299,",SQL,Javascript,CRM,Python,Manager Quality Assurance,Agile"
300,
301,",Automation Anywhere"
302,",Talend,Talend Open Studio,Talend Data Integration Suite,AWS,Java"
303,",CI/CD Tools,SDLC,REST API,Microservices Architecture,Spring,Spring Boot"
304,",SQL,Rpa,Software Design,Code Review,Software Development,.Net"
305,",Salesforce,Unit testing,Sales,Apex,Salesforce.com,SFDC"
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,",Appian Developer,Business Process Management,Appian,Java"
317,",Servicenow,HR,ITSM,Integration"
318,",Android Framework,FRAMEWORK DEVELOPER,Android framework developer,AIDL,HIDL,JNI"
319,",Analytics,Healthcare,Supply chain,Leadership development,Social media,Biochemistry"
320,",Automotive,Analytical,Robotics,Computer science,Machine learning,Agile,Algorithm development,Wellness,Medical insurance,Vehicle testing"
321,",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Problem Solving"
322,",Automation,Perl,Front end,Data structures,Debugging,Python"
323,",Project Life Cycle,Software Quality Assurance,Agile,Test Planning,Testing Tools,Design Principles"
324,
325,
326,",Linux Kernel,Linux Device Drivers,Board Bringup,C programming"
327,",Spring Boot,Hibernate,J2Ee,Core Java,Microservices,JEE"
328,
329,
330,",Development Manager,Mainframes,Db2,Project management,Manual testing,Automation"
331,",Coding,Python,Computer science,SDLC,Machine learning,Computer vision"
332,",Db2,Documentum,EMC,Filenet,Alfresco,Analytical"
333,
334,
335,
336,
337,
338,
339,
340,",Salesforce,Unit testing,Sales,Apex,Salesforce.com,SFDC"
341,",SQL,Shorthand,Reconciliation,Agile,Data warehousing,PLSQL"
342,",E-learning,Simulation,content designing,Problem solving,Learning Content Design,Learning Content Analysis"
343,",React Native"
344,",Kubernetes,Terraform,Java,Jenkins,Spring,GIT"
345,",Spring,Struts,Core Java,Sql Db2,Oracle SQL,Debugging"
346,",Salesforce,Unit testing,Sales,Apex,Salesforce.com,SFDC"
347,",Javascript,JQuery,Software Development,Ruby,Software Engineering,SQL"
348,",E-learning,Simulation,content designing,Problem solving,Learning Content Design,Learning Content Analysis"
349,",RPGLE,AS400,CLLE,RPG,CL"
350,
351,
352,",guidewire developer,policy center,config"
353,",Javascript,HTML,Node.Js,CSS,Angularjs,Ajax"
354,",LTE,C,RRC,RLC,NBAP,Protocol Stack"
355,",Technical support,Manager Quality Assurance,Application development,Test planning,Computer science,Financial services"
356,",Training,Learning,HR,Soft Skills Training,Behavioural Training"
357,",Relationship"
358,",SQL,Application development,Web development,Information technology,Computer science,Backend"
359,",Technical Project Lead,Programming,Supervision,Siemens"
360,
361,
362,
363,
364,",Front End,HTML,CSS,React.Js,Angularjs,Node.Js"
365,",Javascript,ASP.Net MVC,C#,Entity Framework,HTML,Spfx"
366,",IIB,Java Compute Node,ESQL,REST,SOAP,TCP/IP"
367,
368,
369,
370,
371,
372,",Javascript,Redux,CSS,Jest,HTML,Webpack"
373,
374,
375,
376,",PLSQL,Unix,Shell Scripting"
377,
378,
379,
380,",IICS Developers,Data Analytics,Informatica Intelligent Cloud services,IICS,SDLC,performance engineering"
381,",SDLC,agile methodologies,Bigdata,Pyspark,Hadoop,Spark"
382,",Digital Transformation,Problem Solving,Apigee Developer,Apigee,API Management"
383,",Software Engineering,ASP.Net,Asp.Net Core,C#,MVC,Entity Framework"
384,",JSP Servlets,Struts,Hibernate,SOAP,Rest,Websocket"
385,",Franchisee Development,Deal Closure,Negotiation,Coordination"
386,",VMware,Computer science,Analytical,MongoDB,Architecture,Commerce"
387,",React.js,Redux,ES6,React Native,Application Designing,Rest Webservices"
388,",React.js,Redux,HTML5,CSS3,Javascript,React Native"
389,",Android,SDK,Mobile App Designing,Mobile App Performance Optimization,XML,JSON"
390,
391,
392,
393,
394,",Docker,Ansible,Terraform,Openshift,Linux,GIT"
395,",Software design,Recruitment,Packaging,Business transformation,Standard operating procedures,continuous integration"
396,",Configuration management,Database design,Test cases,Test scripts,Scheduling,global operations"
397,",Node.Js,Backend"
398,",PHP,Javascript,Codeigniter,Laravel,Ajax,Wordpress"
399,",WODM,WODM Developer,Websphere"
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,",Cloud Platform,SDLC,agile methodologies,Snowflake,Bigdata,Java"
411,",Digital Transformation,Technology Solutions,Dell Boomi Developer,Enterprise Package Application,Dell Boomi,Problem Solving"
412,",technology solutions,Celonis Developer,functional designs,Celonis,structuring relevant data"
413,",MEGA,iGrafx,SPARX Enterprise Architect,MS Visio,Process Mapping,Data Mapping"
414,",Digital Transformation,technology solutions,Effort Estimation,Vendor Evaluation,Business Process Management,Appian"
415,",MEGA,iGrafx,SPARX Enterprise Architect,MS Visio,Process Mapping,Data Mapping"
416,",Telecom,Troubleshooting,Coding,Debugging,Salesforce,Computer science"
417,",VB,Automation,Python,Coding,Healthcare,Macros"
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,",Android HAL,AOSP,HAL,Camera HAL"
441,
442,",Front End,Html5,CSS,Javascript,jQuery,Responsive Design"
443,",Front End,Html5,CSS,Javascript,jQuery,Responsive Design"
444,",Sharepoint,Powerapps,Power Automate,SQL"
445,",Unit Testing,Customer Satisfaction,Build,Linux,Software Development,UML"
446,",Root Cause Analysis,Design Studio,T24,TAFC,TAFJ"
447,",AAA,Triple A,Triple A Plus"
448,",AAA,Triple A,Triple A Plus"
449,",Information technology,Active directory,Monitoring,Computer science,Web services,LDAP"
450,",Networking,Data analysis,High level design,Firewall,Technical Lead,PeopleSoft"
451,",SSIS,SSRS,Coding,project support,.Net,WCS"
452,",SSIS,SSRS,Coding,project support,.Net,WCS"
453,",SQL,Unix,Linux,Oracle BRM,application monitoring,Perl"
454,",SQL,Unix,Linux,Oracle BRM,application monitoring,Perl"
455,
456,",SAP,Presales,Data modeling,Consulting,Data analysis,Computer science"
457,",Javascript,CSS,HTML,Web Development,React.Js,Front End"
458,",SDSF,ISPF,Db2,VSAM,JES2,C"
459,",Financial services,Analytical,Agile,IFS,Unix shell scripting,WTX"
460,",Spark,Athena,Machine Learning,S3,SQL,AWS"
461,",C#,.Net,Rpa,Software Development,Uipath,Programming"
462,",Uipath,Rpas,Ui Path Developer,Atrium Orchestrator,RE Frame WOrk,Rpa"
463,",Uipath,Rpas,Ui Path Developer,Atrium Orchestrator,RE Frame WOrk,Rpa"
464,",ETL,Informatica,IICS"
465,
466,",Javascript,JQuery,HTML,CSS,Laravel,Core PHP"
467,
468,",C++,HPC,STL,STLC,Container,Docker"
469,",Javascript,React.Js,Node.Js,Html5,Angular"
470,
471,
472,
473,
474,
475,",Social Media,Content Marketing,Content Strategy,Editing,Content Creation,Marketing Initiatives"
476,
477,",SQL,Javascript,HTML,Ajax,jQuery,Web designing"
478,
479,
480,",CSS,Javascript,HTML,Karma,Jasmine,Front End,Express,Webpack,Typescript,Redux,reactjs,Jest"
481,",React.Js,next.Js"
482,
483,
484,
485,",Agile Development,Team Development,Node.Js,Python,Javascript,Typescript"
486,",Industrial Automation,HMI,Factory Automation,SCADA,PLCS,Historian"
487,
488,",Terraform,Athena,S3,Node.Js,Python,PHP"
489,",oms developer,Java"
490,",Automation,Agile,Change management,Developer Analyst,Translation,Deployment"
491,",Design Specifications,Payment Gateways,Technical Design,Production Support,Suite Flow,Suite Talk"
492,",SQL,Unix,Linux,Oracle BRM,application monitoring,Perl"
493,",XML,Unix,JMS,JDBC,Active directory,Access management"
494,",Design Specifications,Payment Gateways,Technical Design,Production Support,Suite Flow,Suite Talk"
495,",Robotics,Process automation,Backend,Programming,Testing"
496,",CSS,Struts,JSP,Weblogic,Tomcat,JMS"
497,",CSS,Struts,JSP,Weblogic,Tomcat,JMS"
498,",IOT,Big Data,Fieldbus,Cloud Services"
499,",React js,Redux,Javascript,Html5,jQuery,Typescript"
500,",GOlang"
501,",Kubernetes,Docker,Helm,Elk,Jenkins,Grafana"
502,
503,
504,",Unit Testing,Powershell Scripting,Rest Api,GIT,Python"
505,
506,
507,",Oracle,Python,Java,Javascript,ETL Tool,Snowflake"
508,",Java,Spring,JDK,DBMS,JQuery,Mybatis"
509,",HTML,Hibernate,PLSQL,Coding,Maven,Monitoring"
510,
511,",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Problem Solving"
512,",Spring,Java,J2Ee,JBoss,Maven,Javascript"
513,",Consulting,Digital Transformation,Technology Solutions,Primary Skills,Effort Estimation,Vendor Evaluation"
514,",Javascript,JQuery,Ajax,JSON,Html5,Apache Sling"
515,",Agile,SDLC,Performance Engineering,problem solving,Azure,Bigdata"
516,",Digital Transformation,Problem Solving,Mendix Developer,Mendix"
517,",Spring,J2EE,JBoss,Maven,JavaScript,GIT"
518,",Agile,SDLC,Performance Engineering,problem solving,Azure,Bigdata"
519,",Igrafx,Business Process Management,MS Visio,Signavio,BPMN,Java"
520,",Business Process Management,Digital Transformation,Technology Solutions,Problem Solving,Appian,Java"
521,",Java,Microservices,Javascript,MySQL,XML,Software Development"
522,",C,MATLAB,C++,Signal Processing,Algorithm Development,DSP"
523,",Waterfall,Software Development,Database Design,Technical Design,Scrum,Agile"
524,",JQuery,Ngrx,Rxjs,Typescript,Ajax,Angular"
525,",Consulting,Digital Transformation,Technology Solutions,Primary Skills,Effort Estimation,Vendor Evaluation"
526,",Process Integration,SAP PI,Consulting,PO,Digital Transformation,Technology Solutions"
527,
528,
529,",C,MATLAB,C++,Signal Processing,Algorithm Development,DSP"
530,",Consulting,Enterprise Content Management,Team Management,Client Interfacing Skills,Technology Solutions,Problem Solving,Digital Transformation,Software Configuration Management,Management Systems,Primary Skills"
531,",Consulting,Digital Transformation,Technology Solutions,Primary Skills,Effort Estimation,Vendor Evaluation"
532,",Consulting,Digital Transformation,Technology Solutions,Primary Skills,Effort Estimation,Vendor Evaluation"
533,",Consulting,EAM,Digital Transformation,Technology Solutions,Primary Skills,Effort Estimation"
534,",Supply Chain Management,WMS,Consulting,Thought Leadership,Digital Transformation,Technology Solutions"
535,",Rpa,Python,VBA,R"
536,",Rpa,Python,VBA,R"
537,
538,
539,
540,",C++,Application development,Data structures,Debugging,CAD,Software design"
541,",TIBCO Business Events,TIBCO Administrator,Business Works,Hawk,Java,Web Services"
542,",Quantitative Analytics,R,Python,SQL,Regression Algorithms,Statistical Modeling"
543,",Oracle E-business Suite,EBS,Oracle Apps Technical,Rice Components,XML Publisher Reports,SQL"
544,",React.Js,Redux"
545,
546,",React.Js,Redux"
547,",Go,Microservices,Docker,Kubernetes"
548,
549,
550,
551,
552,
553,
554,
555,
556,",Javascript,Azure Functions,Node.Js,Typescript,SQL Azure,Microsoft Azure"
557,",Qxtend"
558,",Customer service,E-learning,Analytical,Logistics management,Management,Interpersonal skills"
559,",clinical development,Healthcare,Clinical trials,Recruitment,GCP,Administration"
560,",HMI,Automotive Infotainment,Telematics"
561,",Iaas,Build,Consulting,Devops,Digital Transformation,Technology Solutions"
562,",Process Integration,Consulting,PO,MSC,Digital Transformation,Technology Solutions"
563,",Consulting,Client Interfacing Skills,Team Management,Technology Solutions,Problem Solving,Digital Transformation"
564,",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Problem Solving"
565,",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Problem Solving"
566,",WMS,Vendor Evaluation,Consulting,Digital Transformation,Technology Solutions,Effort Estimation"
567,",SAP,Consulting,Vendor Evaluation,Ariba,Digital Transformation,Technology Solutions"
568,",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Problem Solving"
569,",Websphere Message Broker,Websphere Mq,Ibm Integration Bus,Datapower,Message Queue,Consulting"
570,",Java,Alexa,Software Integration,Automotive android,Automotive Infotainment,Voice applications,C++,Android App"
571,",Android Framework,C,Kotlin,C++,HAL,OOP"
572,",Android Framework,C,Kotlin,C++,HAL,OOP"
573,",Formulation Development,Injectables,Parenteral,Sterile"
574,
575,
576,
577,",Web technologies,Architectural design,electronic trading,TDD,Interpersonal skills,Agile development"
578,",SQL,Python,Data structures,Data modeling,Agile,Investment banking"
579,",SQL,Python,Data structures,Data modeling,Agile,Investment banking"
580,",Troubleshooting,XML,Javascript,HTTP,Test cases,JMS,JSON,boomi,Unit testing,Deployment"
581,",Javascript,Redux,Webpack,React.Js,CSS,JSON"
582,",SQL Queries,DW,Dimensional Modeling,ETL,NoSQL,Snowflake"
583,
584,",microsoft,Computer science,User interface designing,power bi,office 365,Testing"
585,
586,",java,EIS"
587,",Rpa,IT Support,Use Cases,uipath"
588,",MVC,SQL Server,.Net Core"
589,",Javascript,ASP.Net MVC,C#,Entity Framework,HTML,Spfx"
590,",Java,Spring Boot,Microservices,Angularjs,Redux,CSS,React.Js,Flux,Web Technologies,AWS"
591,",Javascript,JQuery,HTML,CSS,Web Technologies,Rest"
592,",Lightning,Salesforce,APEX,VisualForce,Process Automation,Triggers"
593,
594,
595,",Recruitment,Analytical,Core Java,Product engineering,Machine learning,Backend"
596,",Lightning,Salesforce,APEX,VisualForce,Process Automation,Triggers"
597,",SQL,Unix Shell Scripting,Linux,C,C++"
598,",JQuery,JSON,Python,AWS,Azure,VMWare"
599,",SQL Queries,Tableau,Data Wrangling,Python,R,Data Science"
600,",SQL Queries,Tableau,Data Wrangling,Python,R,Data Science,Data Analytics,Data Cleaning,Data Analysis,Spotfire"
601,",Application Support,Java Programming"
602,
603,",Application Support,Java Programming"
604,
605,",Writing Test Cases,Design Principles,Performance Engineering,Design Development,Problem Solving,SDLC"
606,",Agile,iGrafx,Continuous Integration,Enterprise Architect,Business Process Modeling,MS Visio"
607,",Digital Transformation,Technology Solutions,Celonis Developer,Celonis,Problem Solving"
608,",Front End,Angular,Javascript,Bootstrap"
609,",Agile,iGrafx,Continuous Integration,Enterprise Architect,Business Process Modeling,MS Visio"
610,
611,",STL,C++,Routing Protocols,Software Development,Distribution System,Software Architecture"
612,",Javascript,JQuery,Bootstrap,Es6,Typescript,HTML"
613,",Javascript,HTML,CSS,Entity Framework,.Net Core,Web Api"
