course_title/users,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh
Python for Finance: Investment Fundamentals & Data Analytics,,,0,0,,0,,,,,,
Financial Modeling for Startups & Small Businesses,,1,,,,,,,,,,
Options Trading - How to Win with Weekly Options,,,,,,,,,,,0,0
Black Algo Trading: Build Your Trading Robot,,,,,,,,,,,,
Accounting & Financial Statement Analysis: Complete Training,,,,,,,0,,1,,,0
Cryptocurrency Trading: Complete Guide To Trading Altcoins,,,,,0,1,1,0,,,,
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,0,,0,,,,,,,,,
Three Steps Trading - Live Trading - Real Account,,,,,,,,,1,,1,
Option Trading for Rookies:  Understand Options Completely,,,1,,,,0,,,,,0
How I Learned Stock Trading (and How You Can Too),,,1,,,,,1,,,,
Learn to Trade for Profit: Find and Trade Winning Stocks,,,,,,,1,0,,,,
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,,,1,,,1,,,,,1,
Four Fundamentals of Financial Planning,,1,,,,,,1,1,,0,
Options Trading - Calendar Spread Course for Every Trader,,,,,,,,,,0,,
Dividend Investing: Build Your Portfolio for a Better Future,,,,,,0,0,0,,,,
Learn Accounting. Understand Business.,,0,,0,,,,0,,,,
How to Consistently Win Trading Stocks in 30 Days or Less,,,,,1,,1,,,,,
A Beginner's Guide to Quantopian Futures API,,,,,1,1,,,,,,
How to Buy Cheap Options - Options Trading Pricing Model,,,,1,,,,,,,,
Excel Crash Course: Master Excel for Financial Analysis,,,,,,,0,,,,,
"Comprehensive Guide to Financial Markets, Investing &Trading",0,1,0,,,,,1,0,,,
Stock Trading Ninja: Complete System For Trading Success,,,,,,0,,,,,,
Hedge and Mutual Fund Careers: The Complete Guide,,,,,,,,,,,,
Algorithmic Trading In Forex: Create Your First Forex Robot!,,,,1,,,,,,,,
The Power Modeling Bootcamp: Advanced Excel in 10 Days,1,,,,,,0,,,,1,
Options Trading Basics (3-Course Bundle),,,,,,1,,,,0,,
How to Win 97% of Your Options Trades,,,0,,,,,,,,0,
How I Make Consistent Returns Trading Options,,,,1,,,,1,,1,0,
"Forex Strategies: Kelly Criterion, Larry Williams and more!",,,1,,,1,,,0,,,
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",,,,,,,,1,,,,
Options Trading Introduction: Day Trade Stock Options,,0,0,,,,,,,1,,
The Almost Perfect Options Trading Strategy System - Unique,1,,,,,,1,1,,,,
Forex Trading -  Learn to Trade Forex Like the Banks,,,,,,,,0,,,,0
Learn to Trade for Profit:Trading with Japanese Candlesticks,1,,,,1,,,0,,,,
The Most Powerful Options Spread Trading Front Ratio Spread,1,,,,,0,,0,,0,,
What Finance Job is for You? Explanation of 14 Finance Roles,,,,,,0,,,,,1,1
The Blueprint for Successful Stock Trading,,,,,1,0,,,0,,,1
Trading for Beginners - Intermediate Level,,,,,,,,0,,,,
Start Trading Stocks Using Technical Analysis!,,,,,,,0,,,1,,1
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,,,,,,,,0,,0,,
VPS for Forex Trading - Protect Your Forex Robots,,,,,0,,,,,,0,1
Introduction to Accounting: The Language of Business,,,,,,,,,,,,
Basic Excel for Basic Bookkeeping and Accounting,1,,1,,,,1,0,,,,1
"Using 'The Greeks To Understand Options""",1,0,,,,,,,1,,,0
Trading Options For Consistent Returns: Calendar Spreads,,,,1,,,,,,1,,1
How to Create Your Personal Budget,,,,,,,,,,1,,
The Complete Value Investing Course: A Proven Approach,,,1,,1,1,,,,,,
FOREX Trading with Price Action,,,,,1,,,1,1,,,
Emini ES Futures - Advanced Non Directional Options Trading,,,,,,,,,1,,,
Forex Trading - Advanced Fundamental Analysis,,,,,,,,,,,,
How To Invest With Tiny Capital In Stocks ?,,,,,1,,,,1,,1,
Learn How To Successfully Trade Stocks: In 5 Simple Steps,,,,,,,0,,,,,
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,,,,,,,0,,,,,
Intermediate Options trading concepts for Stocks and Options,,,,1,,0,,,,,0,
Options Trading 101: The Basics,,1,,0,,,,,,1,,
Practical Accounts APP Overview,0,,,,,,,,0,,,
Bitcoin Profits for Beginners,,,,,1,,,,,,,1
Trend Traders Club: How To Find And Trade Fast Moving Trends,,,1,,,,,,,1,,
Financial Statements Basics,1,,,,,,,,1,,,
High performance Stock Trading using key Options techniques,,0,,,,,,,,,,
Introduction to Financial Statement Analysis,,,,,,,,,,,,
Basics of Economics (College Level),,,,,1,,,1,,,0,
Stock Market Investing for Beginners,,0,,,,,,,,,,1
Accounting for Beginners : Learn Basics in under 1 Hour,,,,,,,0,1,0,1,,0
Straddle Options Trading - Profit in Any Market Direction,,,,,1,,1,1,,1,,
Fundamentals of Forex Trading,0,,0,1,,,,,,1,,
"Binary Options: Trading Strategies, 90% Accuracy and Signals",,,,0,0,,,0,,,1,
Website Investing 101 - Buying & Selling Online Businesses,,,,,,,,,,,0,
Practical Accounts & Bookkeeping Automated Overview ,,,,,1,,,1,,,,
Live Account - ETF Trading System - Hacking The Stock Market,,,,,,,,,,,,
Stock Market Leverage: How to Start Trading Options Wisely,,,0,,,1,,0,,,,0
Stock Market Foundations,,,,,,1,1,,,1,,
Crash Course on Working Capital Management,,,,,,,,1,,,,1
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,,0,,,,,,1,,1,,1
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,,0,,1,,0,,,,0,,1
How to create a routine Trading,,,,,,,,,,,0,0
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",,,,,,,,,,,,
Forex SOS Course: Trading Tweaks And Working Forex Strategy,,,,1,,,,,,,0,
Introduction to Financial Modeling,1,,,,,,,1,1,,,
Quantitative Aptitude for Banking & Competitive Examinations,,,0,,1,,,,,,,
Option Spreads and Credit Spreads Bundle,,,,,,,,,,,,
B Com Accountancy I (Paper ECO 02 IGNOU),,,,1,,,0,,1,1,,
FOREX TRADING - Learn in a quick + profitable way + support,1,1,,,0,,,,,,,
Auditing Basics (Professional Course Level),,0,,,,,,,,,,
Stock market Investing Encyclopedia: How to invest in stocks,1,,1,,,,,1,,,,0
Learn the basics of preparing accounting statements,,,,,,,0,,,,,
Elliott Wave -Forex Trading With The Elliott Wave Theory,,0,,,,,0,,,,,
Corporate Finance - A Brief Introduction,,,,0,,,,1,,,,
Excel functions to analyze and visualize data,,,,0,1,,,,1,,,
Building Financial Statements in Excel,,,,,,,,1,,,0,
Transfer Pricing A Complete Analysis,,0,,,,1,,,1,,,
Accounting: Get Hired Without Work Experience,,,,,,,,0,,,1,
Forex Trading for Beginners - Basics,0,,,,,,,1,,,,
Basic Bookkeeping Hacks,,,1,,0,,,,,,,1
Complete Trading Plan Course for Stocks & Forex (10 Hours),,0,,,0,,,,,,0,
"Forex Trading with Fixed 'Risk through Options Trading""",1,,0,,,1,0,,,,,
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",,,,,,,,1,,,,
How to Pick The Right Penny Stocks To Invest In 2017,,,1,,,,,,,,,
Top 10 Trading Ideas in the Equities Market,,,,1,,,1,1,,,0,0
Intro to Financial Modeling,,,,,,,,,,,1,0
Shark Accounting - Building a Business by the Numbers!,,,,,,0,,,,,,0
Forex Trading MAKE YOUR FIRST TRADE TODAY!,,,1,,,,,,,1,,0
Accounting in 60 Minutes - A Brief Introduction,,,,,,1,,,,,,
SAP FICO For Beginners - A Guide to SAP Financial Accounts,,0,,,,,,0,,0,1,
Learn how to double your Forex Trading Account in one trade,,,1,,,,,,,,,1
"Accounting Superpowers: Learn Accounts, Understand Business!",,,,,,,,,0,,1,
Python Algo Trading: FX Trading with Oanda,1,,,,,1,,,,,,
Save on Your Taxes,,,,1,,,,,,0,,
Financial Model Basics: Build a model from start to finish,,,,0,,0,,,,,,
Option Trading for Rookies: The Covered Call Option Strategy,,0,,,,,,,,,,1
EFT for Stock Options Trading Success & Making Better Trades,,,,0,,,,,1,,,
Learn to Trade the Stock Market without Blowing Your Profits,,0,1,,,0,0,0,,0,,
Get a Credit Repair Publication On Amazon and Live LIFE..,,0,,,,,,,0,,1,
Fundamentals of Accounting,,0,,,1,1,,,,,,
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",,,,,,0,1,,,1,,1
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,0,,,0,,,,,,,1,
Accounting 101: How to read an Accounting Balance Sheet,0,,,,,,,,,,,
Stock Options Day Trading Mindset for Success,,,,1,,,,,,,,
Introduction to bookkeeping and Accounting,,,,,,,,,,,,
Learn to Trade The News,,,,,,,,,,,,
"Value Investing, Taught by Six Superinvestors",,,1,,,,,,0,0,,
Trading for everyone - The Independent Investor Course I,,,,0,,,,,,,,1
Get Acquired: Learn From The Head Of Acquisitions For eBay,0,,1,,1,,0,,1,0,,
Stock Market investment: Practical Accounting,,,,,,,1,,0,,,
"How to remove 'Risk from Penny Stocks - Options Trading""",0,,,,0,,,,,,,0
Accounting Basics in 66 Minutes (absolutely for beginners),,,,,,,0,,,,,
"Tax Accounting: Difficult Topic, Made Easy to Understand",,1,,,,,,,,,1,
Analysis of Company Financial Statements,,,1,,,,,,1,,,
Forex Trading Like Banks – Step by Step with Live Examples,1,,,1,,,1,0,,,,
Fundamentals of Investing!,0,,0,,,,,,,0,,
Bank Financial Management A Comprehensive Study,1,,,,,,,0,1,,,
Learn to Trade Forex and Stocks: From Beginner to Advanced,,,,,,,,,0,1,0,
"Master 'Technical Analysis and Chart reading skills Bundle""",,,,,0,,,,,,,
Naked Put Options Trade Covered Call & Poor Man Covered Call,,,,,,,,,,0,,1
The Ultimate Guide to Dividend & Dividend Growth Investing,,,,,,,,1,,,0,1
Charting for Beginners 101: Technical Analysis Demystified,,,0,0,,,0,,,,,
Build a DCF Valuation Model,,,,,,,,,,,,
Introductory Financial Accounting,,,0,,0,0,,,,,,
Introduction to Cryptocurrencies and Blockchain,,,,,,,,,,,,1
Trade Pullback Candlestick Strategy - Make Consistent Pips,,0,,,,,,,,,,
Accounting Standards Basics (Professional Course Level),,,,,1,,1,,1,,,
Use the Magic Multiple Moving Average Forex Trading system,,,,0,,,1,0,,1,,
QuickBooks 2015 Training for Newbies,,0,,,,,,,,,,
TRADING PSYCHOLOGY: Trading Mindset Mastery,0,0,,0,,,,,,,,
Option Trading: How to Adjust Delta-Neutral Strangles!,1,,,0,,,,,,0,,
Profitable binary option trading strategy,,,,,,,,,,,,1
Tax Strategy: Financial Planning for Beginners,,,,,,,,,,,,
Accounting 2 Simplified for You,,,,0,,,,,,0,,0
Project Funding Modelling (for Professionals),,1,,,1,1,,0,,,,
Investing: How I Consistently Beat The Stock Market,,,,,,,,,,,0,1
Bookkeeping Basics:  Understand the Fundamentals,,,,,,0,,0,0,,,
Leasing - A Comprehensive Study (Professional Course Level),,,,,,,,,1,,,
Trading Options For Consistent Returns: Options Basics,0,1,,,,,,0,,0,1,
TechniTrader Leading Hybrid Indicator Trading,,,,,0,,,,0,,,0
Financial modeling: Build a DCF equity valuation model,,,,,,,,,,,,0
CryptoArbitrager: Bitcoin Trading Robot (no mining),,,0,,,1,1,,,1,,
Accounting Is Easy (for Beginners),,,,1,,,,,,,1,
Non Directional Weekly Options Trading System - ETF & Emini,1,,1,,,,0,,,,1,0
The Complete Position Trading Course: Position Trading Stock,1,,,,,,,0,,,,0
Master Iron Condors - Double the credit for half the risk,,,,,0,,,,,,1,
Basics of investing in Mutual Funds,,,,,,1,,,0,,,
A Value Investing Approach to the Stock Market,,,,,,,,0,,,,
Learn how to INVEST for huge profits or make it big trading!,,1,0,0,,,,,,0,,
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",0,,,1,,,1,,,,,
Mastering Candlestick Charting : High Probability Trading,,,,,,,,,,,,
Binary Options Course - Level 2,,,,0,0,,,,,,,
Stock Technical Analysis with R,,0,,,,,,,,,,0
"Get to know the VIX Index (aka 'The Fear Index)""",,1,,1,,1,,1,,,,0
Apply finance concepts for smart project management,,,,0,,,,,,,,0
Introduction to Futures Trading and Live Trade Demonstration,,,,,,,,,,1,,
Crowdfunding to Win,,,,,1,1,,,,,,0
Comprehensive Forex Mastery Program,,,,,,,1,1,,,,
Preparation of Consolidated Financial Statements (Basic),,,,,0,,,,1,,,
Succeed in Bonds Even if You Don't Know Where to Start,,,,,,,,,1,,,
Learn to Trade for Profit: Ten Most Profitable Trading Rules,,,,,,,1,,,,0,1
Succeed in Lotto Even if You Don't Know Where to Start!,,,,,,,,,,0,0,
CFA Corporate Finance Level 2,,,,,,,,,,1,,
Pin Bars: The Most Powerful Forex Trading Signal,,0,,,1,1,,,,1,,
Stock Options Trades Using Interactive Brokers,,,1,,1,,,,,,,
Introduction to Options - Strategies For Consistent Profits,0,,,,0,,0,,,,0,
Risk in Forex Transactions - for CA / CS / CFA exams,,,,,,0,,1,,0,,
Basics of Business Statistics (College Level),,,0,,,,1,1,,,0,
"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",,,,,,1,,,,,,
Interpreting Financial Statements,,,,,0,,,,1,,0,
Introduction to Bookkeeping (Accounting),,,,,,1,,,,,,
CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,,,1,0,,,1,,0,,1,
Investment Banking: How to Land a Job on Wall Street,,0,,,,1,,,,1,,
Learn To Invest In Index Funds and ETFs In 7 Easy Steps,,,,,,,1,1,,,,
Financial modeling: Build a multiples valuation model,,,,0,0,0,,,1,,,
Trade Recap I - A Real Look at Futures Options Markets,,,,,,,,,,,,1
Advanced Stock Options for Serious Equity Investors!,,,,,,,,,,,,
Trading Binary Options for Fun and Profit,,,,,,,,,,1,,
CFA: Fast Track your career in Finance,,1,,,,,,0,,,,
How to be a Profitable Forex Trader,,,1,,,,,1,,,,
Excel Dashboard - Interactive Excel Dashboard and Charts,,1,,,,,,0,,,,
Accounting 101: Learn Business Finance Forecasting in 60mins,1,,,,0,,0,,1,,,
The Securities Trade Lifecycle,,,,0,,,,0,,,,
Double your Forex Account using the MAGIC MA trading robot,,,,,,0,1,0,,0,,
Technical Analysis 101: How to Profit During Market Crashes,,,,,,1,,,,,1,
Advanced Accounting for Investment Banking,,,,,,0,,,,,0,
Investing In Stocks With 10 Simple Rules,,,,,,,,0,,,,
Venture Capital. What is it and Why it Matters to You!,,,,,,,,,0,,,
Cash Flow Valuation: Develop Your Financial Literacy,,,,,,,,1,,,,
Direction-Independ Trading - Elite Forex Traders  Strategy,,,,0,,,,,,,0,1
How to Become a Financial Analyst from Scratch!,1,0,1,,,,,,,,,
First Steps to Trading the Forexmarkets : Technical Analysis,,,,,,,,,0,,,
Financial analysis: Compare performance of companies,0,,,,,,,,,0,,1
Forex for Beginners: Easy Forex Trading for Beginners,,,,0,,,,,0,,,0
Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),,0,1,,,0,,,,,,
Read financial statements like a pro,,1,,,,,,,,,,
10 Numbers Every Business Owner Should Know,,,,,,1,1,,,,1,
Learn How To Trade Gold In 2017,,0,,,,0,,,,,,
IAS 18 - Revenue,1,1,,,,1,,,,,,
Forex Trading: The High ROI Forex Trading End of Day Course,,,,,,,1,,0,,0,
Fundraise the Simplified Way: A Crowdfunding Blueprint,,,,,,,1,,,,,1
Fundamentals of Accounting for Business Owners,1,0,1,,,0,0,,,,0,
Practical Financial Statement Analysis,,,1,,,,,,,,1,
Forex Management - Detailed Study for CA / CS / CFA Exams,,,,,,0,1,,,0,,
Financial Statement Review 101:  How to Find Errors,,1,,,0,,,,,,,0
Professional Risk Manager (PRM) Certification: Level 1,,,1,,,,1,,,,,
International Tax  - Tax Beyond boundaries,0,,,,,,,,,,,
The Complete Financial Statement Analysis Course,0,0,1,,,,,,0,,1,
Advanced Excel functions,,,,,,,,,,,0,
Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),,,,,,,,0,,,,
Candlestick Analysis For Professional Traders,,,,,,,,1,0,,0,
Build A Career In Forex Trading- Learn Fundamental Analysis,,,1,,0,,,0,,,,
Financial Modeling: Build a Complete DCF Valuation Model,0,,,,,,,,,,,
Hands-on Financial Modeling (With 6 Excel Templates),,,,,,,1,,,,1,
CAIIB Advanced Bank Management (Part I),,,0,,,,,,,,,
Stock Market investment:Non financial fundamental analysis,,1,,1,,1,0,1,0,,,
Learn How to Play CashFlow Game,,,0,,,1,,,,,,
Basics of Business Finance,,,,,,,,,0,1,,
Accounting Made Easy 2,,,,,,0,0,,,,,
"Bitcoin: el futuro del dinero, hoy",,,0,,,1,0,,1,,,
Aprende a invertir practicando,,,1,,,,,,0,,,
Trading con retrocesos de Fibonacci,1,,,,,,,,,,,
Mit Finanzwissen zu besserem Unternehmertum,,,,,,,,,,,,
Como hacer empresa en 10 sesiones prácticas,,,,,1,,,,,,,0
المحاسبة للإداريين و غير المحاسبين,,,0,,,,,,,,,
株式投資で本当のファンダメンタル分析ができるようになる,,,0,,,,,,,,,
Curso de Trading práctico basado en casos reales,,,0,,0,,,,,1,,
Curso Avanzado de Trading,,,,,,,,,,,,
สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,,0,,,,,,,,,0,
MQL4 Tutorial Golden Goose,0,,,,0,,1,,,,,
Análise de Concessão de Crédito,,,1,,,1,1,,,,,
Technical Analysis Using Elliott Wave Theory,,,,,,,1,1,0,,,1
The Basics Of Volume Analysis,,1,,,,,1,,,0,0,
Crash Course on Cost of Capital and Capital Structuring,,,1,1,,,,,,1,,
Business Accounting Made Easy,,,1,1,,,0,,,,,
Build a DCF Model from Scratch,,,,,0,,,1,,1,1,
"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",1,1,,,,,,,0,,1,0
Technical Analysis - A practical approach for trade entry,0,,0,,,,,,,,,
Mastering Technical Analysis : Maximizing Trading Profits,0,,0,1,,,1,,,,,
The Complete Guide to Professional Trading with Elliott Wave,,,,,,0,0,1,1,,,
A Complete Guide to Becoming a Trader on the Forex Market,,,,,,,,,,0,,
Stock Market for Beginners - Complete Starter Toolkit,,,,,,1,,,0,,,1
Beginners Binary Options Course,0,,,,0,,,,,,,
Technical Analysis 101: Secrets of Trading Revealed,,,1,,,,,,,,,
Forex: What's a Trend and When it is Strong and Reliable,,,,,,,1,,,1,,
Volatility Trading Analysis with R,,,,,,,,,0,,,
How To Profit From Stock Market Volatility,,,,1,,,,,,,,0
Awaken the Accountant in You | Master the Accounting Basics,0,1,,,,,,1,,,,
WE WILL PAY YOU TO TRADE WITH US,,,,1,,0,,,,,,
Situational Trading: Proven Option Strategy for any Scenario,1,,,,,,,,,,,
Portfolio Management for CA / CS / CFA exams,,,,,1,,,,,,,
Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),,1,,,1,0,,,,,,1
Finding an Unlimited Amount of Investors,,,0,,,,,,,,,
Bookkeeping Made Easy,,,,,0,,,,,0,,0
BITCOIN VISUALLY. Part I.,1,,0,,,1,,,,,,
Learn and Master the Basics of Finance,1,,1,,,,1,0,,,1,
FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,,,,,,1,,,,,,
Mastering the Market : (Technical Analysis + Candlestick),,,,,,,,1,,,0,
Mastering Countertrend Trading : High Profit Trading Pattern,0,,,,,,,,,,,
Exam 1 Review - Managerial Accounting (U of H),,,,,,,,,,,,
* An Integrated Approach to the Fundamentals of Accounting,1,,,,1,,0,,,,1,0
Get to grips with the CFA calculator,,,1,,,,,1,,0,,
Financial Model Fundamentals-Learn the Essential Skills,,,,,0,,,0,,0,,
Forex: Economic News Trading,1,,,,,,,,,,,
Analyze Real Estate Investments | Financial Modeling,,,,,,,,,,,,0
Forex For Beginners - A Guide To Currency Trading,,,,,,,1,0,1,,1,1
Raise Your Credit Score to 800 Or More....,1,,,,,,,,0,,,
Financial Management Budgeting Techniques,,1,,,,0,,,1,,,0
Forex Killing Divergence - How to trade with precision,,,0,1,,0,,,,0,,0
Working Capital Management for CA / CFA / CPA Exams,1,,,,,,,0,,,,0
Risk Analysis - Capital Budgeting for CA / CS / CFA exams,,0,,,,0,,,,,,
Corporate Finance 101: Financial Statement Analysis & Ratios,,0,,,,,1,1,0,,,1
Mastering Futures Options for Beginners - Your Top 5 Plays!,,,1,,,,1,,,0,,
"Professional Options Trading, Simplified",,,,,0,1,,,,,1,
"Advanced Options Concepts - Probability, Greeks, Simulation",0,,,,,,,,,,,
Accounting Basics - A Complete Study,,,,1,,0,,,,,,
Case Studies in Macro Economics,,,,,,,,1,,,,
My Forex Strategy that win consistently over and over,0,0,0,,,,,,,,,
Understand Banks & Financial Markets ,,,,,0,,,1,,,0,
Stock Technical Analysis with Python,,,,,,,,,,,,
How to Become an Accountant from scratch!,1,,,,,,1,,,,,
How to invest in Gold,1,,1,,1,1,,0,,1,,
Automate Your Finances,0,,,,,,1,,0,,,
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),,,,0,,,,,,,,
Accounting Made Easy: A Quick Guide to Financial Accounting,,,,,1,,,,,,,
Futures/Commodity Training (Basics),,0,,,,,,,,,,
Cost Accounting Marginal Costing Theory and Practice,,,,,1,,,,,,,
The Big Volatility Short: The Best Trade On Wall Street!,0,,,,,,,,,,,1
Master Finance in Three Hours,,,,,,1,,,1,,,
Learn Options on Futures for Hedging Options and Stocks,,,1,,,0,,,,,,
Option selling trading as income source. Beginners friendly,0,,,,1,0,1,,,,,
Introduction to Value Growth Investing,,,,,,,,,,,,0
Become A Forex Trader - Forex trading like a professional,,,,,0,0,,,1,,,
Hedge Fund Trading System,0,,,,,,,0,,1,,
Bulletproof Personal Finance: Expert Asset Allocation,,,,,,,,,0,,0,
Financial Accounting: The Complete Introductory Crash Course,,,,0,,0,0,1,,,,
Learn About Trading Options from a real wallstreet trader,,,,,,,0,,,,,
Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,,,,,0,1,,,,,,1
How to Build a Massive Stock Portfolio from Zero!,,1,,,,,,,,,0,
Introductory Forex Trading Course,,0,,,,,1,,,,,
Budgeting Hacks to Build Wealth!,,,,,,,,,,,,1
Accounting and Finance for Bankers - A Comprehensive Study,1,,,0,,,,,,,,
Forex Prep Academy for Beginners-Real trades!,,,,,,,,1,1,,,
Accounting for Deferred Taxes (Professional Course Level),,,1,1,0,,0,,,,,
TRADING TRUTHS,,,,,,0,,,,,,
The Binary Institute - Introductory Course in Binary Options,,1,,,,,,,,,1,
Forex Trading vs Option Trading,,,,1,,,0,,,1,,
How to Invest in Stocks + Billionaire Investing Tips,,,,1,,,0,1,,,1,
Value Investing For Beginners,,,1,,0,0,,,1,,1,
TRADING TACTICS,,,,1,1,0,,,0,1,,
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,,,0,,,,,,,,,
Ultimate Retirement: Build Your Own Dynamic Retirement Plan,,1,,,,,1,,,,,
build a solid foundation for trading options,,,,,,,,,1,,,
Forex Scam: Avoid the scam today,,,,1,,1,,,,0,0,
Cost Accounting Crash Course,,,,,,,,,,,,
Option Trading for Rookies: Basic Option Strategies,,0,,0,0,,,,,,,
Business Analysis:  Working with Use Cases,,,,,,,,0,,1,,
Learn to Raise the Funds You Need via Crowdfunding,,,1,,1,,1,,0,,,
Business finances,1,,,,,,,,,,,
Financial Accounting - A Brief Introduction,,,,,,,,,,,,0
Trading Economic Indicators - Complete Trading System,,,0,1,,1,,0,,,0,
Foundation of Options Trading and Investing,,,,,,,,,,0,,1
Option Trading - How To Earn If You Can't Predict The Market,,1,,,,1,0,,,,,
The Financial Analyst Skills Training (FAST) course 2017,,,0,,,,1,,,,,
Covered Calls - Powerful Income Strategy for Stock Traders,,,,,,,1,1,,1,,
Accounting 1 Simplified for You,,0,,,,,,,1,,,1
[Value Investing] Where White People Keep Their Money,,,,,,,0,,,,,
How to Start Investing: Made Simple and Easy,,,,,,,,,1,,,
Basics of Commerce A Complete Study,,,,,,0,,,,,1,
The Passive Investing Blueprint - Build Wealth Passively,0,,,,,,,,1,0,,
7 Steps: Your Introduction to Trading,,,,,,,,1,,,0,
Forex - Elliott Wave Theory with Fibonacci. ,,0,,,,,,,,,,
The Actuarial Profession: Basic Sciences and Principles,,,,,,,,,,,,
Investing in stocks: Avoid stock market loss,,,,,,,0,,1,0,,
QuickBooks Online: Complete Guide & Certification tips,,1,,,,1,,,,,,
Build Financial Models & Value Companies The Easy Way,,,,,,,,1,,,0,1
Adventure Capital: How to pay off debt ,,,,,,,,,,,,
Chart Patterns Trading Demystified,,,,1,1,,,,,,,0
Financial Planning & Analysis: Building a Company's Budget,,,1,,,,,,,,,
