course_id,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,Berriessdfssdfsdsgdfg
627540,,,2.0,3.0,5.0,,,,,4.0,,5.0,
301442,,,,,,,,,,3.0,,,
640100,,,,1.0,,1.0,3.0,,,,,,
1247394,,,,,,,,,2.0,5.0,5.0,,
260470,3.0,,2.0,,,2.0,,,,,,,
1214702,,,,,,,,,,3.0,,,
848664,,,,,,,,,,,,,
1142570,,,,,5.0,,,1.0,,,5.0,,
325834,,,5.0,,,,,,1.0,5.0,,,
411168,,,,,,,,,,1.0,,,
885974,,,,,,,,,,,,1.0,
1151092,3.0,3.0,,,,,,,,3.0,,5.0,
358326,,,,1.0,,,,,,,,,
153210,,,,,3.0,,4.0,,1.0,,1.0,,
834836,,,,,,,,,,4.0,5.0,,
1171994,,,,,,2.0,,,,,1.0,4.0,
1239068,,,,3.0,4.0,,,,2.0,,,,
985922,,,,,,1.0,,3.0,,3.0,,2.0,
765562,5.0,,,3.0,,,,1.0,,1.0,,3.0,
165964,,,,,2.0,,,,,,,,
855172,1.0,5.0,,2.0,2.0,1.0,,2.0,4.0,,,,
258232,3.0,,,,,,,,5.0,,3.0,,
994754,,,3.0,,,,5.0,,,,,,
43319,,,2.0,4.0,,,,,,3.0,,,
408440,,,,5.0,,3.0,,4.0,,,,,
918688,,1.0,,,1.0,,1.0,,,,,,
308694,,,,4.0,,,,,,,,,
199450,1.0,,,,,,,,,2.0,3.0,,
401784,,,2.0,2.0,4.0,3.0,3.0,,,2.0,,,
1122792,,2.0,5.0,,,1.0,,,,,,,
709500,1.0,,,,,,,,2.0,,,4.0,
285638,,,1.0,,1.0,,,,,,,,
1135126,,,,,,,,,,1.0,,1.0,
834558,2.0,,,,5.0,,,,5.0,,,1.0,
551968,,,,,,2.0,,,,,,3.0,
1005658,,2.0,,,5.0,,,3.0,,4.0,,,
746432,,,,1.0,,,,,,,,,
1057242,,4.0,3.0,5.0,,3.0,4.0,,,,,2.0,
284118,,,,2.0,,5.0,,,,,1.0,,
302562,,,,5.0,,1.0,,1.0,,2.0,4.0,,
596598,,,5.0,,,5.0,,1.0,5.0,,3.0,,
860890,3.0,,,,,,,,,5.0,4.0,4.0,
951050,,,,,,,,5.0,,,,,
796450,,,2.0,,4.0,5.0,,,,,,,
502772,,2.0,,,,,,,,,,,
1102462,,,,3.0,,,,,,,,,
1062092,,5.0,3.0,,,5.0,3.0,,,,,,
891484,3.0,,,1.0,3.0,,,1.0,,,5.0,,
1217064,,,,,1.0,,,,,,,,
382204,,,,,,,,,,,,,
308696,1.0,,,,,1.0,,,4.0,,,,
474928,5.0,,,,5.0,,,3.0,,,1.0,1.0,
1148774,,,,,,5.0,,,,3.0,,,
959144,1.0,4.0,1.0,2.0,,1.0,2.0,3.0,1.0,,,,
1233350,,,,,,5.0,3.0,,,,5.0,2.0,
572744,3.0,5.0,,,,,1.0,,,,,,
724062,,,3.0,,,,4.0,,,,,,
474212,,2.0,,,,,,,,,,3.0,
771276,,,2.0,4.0,,,,,,,,,
388164,3.0,,,,4.0,,,1.0,,,,3.0,
133536,5.0,5.0,2.0,,,,,,,,,,
655300,,,,2.0,,,,,,1.0,,,
949504,,,,,,,,5.0,,,,,
265960,,,,,,2.0,,,5.0,,,,
680044,1.0,,,3.0,,,,1.0,,,,,
923616,1.0,4.0,1.0,,4.0,,4.0,,,,,,
741898,,5.0,,5.0,,,,,,,1.0,,
381330,,,,,,1.0,,,,,,3.0,
545918,,5.0,2.0,,,,3.0,5.0,4.0,,,,
191854,,,,,,,,,,1.0,5.0,,
471546,,,,,,,,2.0,,,3.0,,
866584,,,4.0,,,4.0,,2.0,,3.0,,4.0,
889824,,1.0,,,,1.0,,,,,,,
1191504,,2.0,,,,,,5.0,,1.0,,,
585752,2.0,,,4.0,4.0,,,,2.0,,,,
671578,,,,,,,,1.0,,3.0,3.0,,
151668,,,,,,,,,,,,,
1105344,,,,,4.0,,,,4.0,,,,
44836,,,,3.0,,,1.0,,,,5.0,2.0,
840300,3.0,1.0,,1.0,,,,2.0,,3.0,,,
1100054,1.0,,,2.0,,,,,,,,,
421054,,,3.0,,,,,,,,5.0,,
528784,4.0,,2.0,,,2.0,1.0,,,1.0,,,
637430,,1.0,,,,,4.0,,2.0,,,,
236080,4.0,,,,,2.0,,5.0,,,,,
777444,1.0,3.0,,4.0,,,,5.0,,,,3.0,
474238,,,1.0,4.0,,,,,,,,,
1245244,,,2.0,,3.0,,,,,,2.0,4.0,
1051570,,,,,,,3.0,,,,,,
262370,2.0,,,,,2.0,,,,,,,
1188178,,,,,,,1.0,,,1.0,,,
824592,4.0,,,3.0,,1.0,3.0,5.0,4.0,,,,
1147458,,1.0,,,,3.0,3.0,2.0,,,,,
1243448,,2.0,,,,,,2.0,,,3.0,4.0,
730414,,,,,,4.0,1.0,1.0,,,,,
252396,,,4.0,,,,,,2.0,,4.0,,
1198166,,,2.0,,,,3.0,4.0,,,,,
920604,,5.0,,,2.0,1.0,,4.0,5.0,,,3.0,
215728,,,1.0,,,,,,,5.0,,,
722174,4.0,,,,1.0,,,,4.0,5.0,,1.0,
48841,,,,,5.0,,,,3.0,,,,
907444,4.0,1.0,,3.0,,,,3.0,,,5.0,,
317030,5.0,,3.0,5.0,,,,,,,,,
891490,3.0,,5.0,,3.0,,,,5.0,1.0,,,
1070886,,,,,2.0,,,,2.0,,,,
812616,3.0,,,,,,,,,,,,
407984,,,,5.0,,,,4.0,,,,2.0,
214046,,,,,,,,,,,,1.0,
512400,,1.0,,2.0,,,,,,,5.0,,
377370,,5.0,,,,,,,,,,,
1175694,,,,,,4.0,,,,,,,
945750,,,,,,,,,4.0,,,5.0,
1085580,,,,4.0,,,,3.0,,,,,
1188410,,,4.0,,,,,,,,,,
402836,,,3.0,,,,,,1.0,,,,
588764,,,,,,5.0,,,,,,,
576946,5.0,,,,,,3.0,,,,1.0,,
543242,,2.0,,,,3.0,,,,,5.0,,
502240,,,,,4.0,,,,,,,,
598266,,3.0,,,1.0,,,1.0,,5.0,,4.0,
814068,,4.0,,,,,2.0,1.0,,,,,
1076920,,,,,,,,5.0,,,,3.0,
1103272,,,,,,,,,,,,,
441112,,,,,,,,,1.0,,5.0,,
1022108,,,5.0,,3.0,,,,2.0,,,,
1028030,,,,,1.0,,,,5.0,,,,
1018380,,,,,,,3.0,5.0,4.0,,,,
575676,4.0,,3.0,,,5.0,,,,,,5.0,
1105216,5.0,,,,,,,,,,,,
936328,,4.0,,,3.0,,,,,,,,
43441,,4.0,,,,,,,,,,,
1103718,,,,,3.0,,2.0,,,,,,
584410,5.0,,,5.0,,3.0,2.0,,,4.0,,,
625568,5.0,,,,,,5.0,,5.0,,2.0,,
297742,,,,4.0,,,,4.0,,4.0,,,
24877,5.0,,,4.0,,,,,,3.0,,2.0,
1188742,3.0,,,,,,,,,,,,
597716,,,,,,3.0,,,,3.0,,,
415802,,,,,,1.0,,,4.0,5.0,,,
323950,,,,,,,3.0,,,,,5.0,
488818,4.0,,,,,,,,,,,,
610890,,,,1.0,,4.0,,5.0,,,,4.0,
638980,4.0,,,,3.0,,,4.0,,,,,
599684,,,,,,,,3.0,,,,,
332848,,,,,2.0,,5.0,,,,,,
354324,4.0,,,,3.0,,,,1.0,4.0,3.0,,
379682,,,,1.0,,,,3.0,,,,,
319020,,,,,,,,,,,5.0,,
713258,,1.0,,,5.0,,,,,2.0,,2.0,
537884,,1.0,,,,,,,,,,3.0,
919906,,,,3.0,,,,,,,,,
46010,,,,,5.0,,,3.0,,,2.0,2.0,
777932,,,,,,,,5.0,,,,,
773934,,2.0,,,,,,4.0,4.0,,,,
221306,2.0,,,2.0,,,,4.0,4.0,,,,
830994,,,,,,,2.0,4.0,3.0,,,,
723510,,,4.0,4.0,4.0,,,3.0,5.0,,,,
42643,,,3.0,,,,3.0,,,,,2.0,
411778,,,,2.0,,3.0,,2.0,,5.0,5.0,1.0,
366514,,,,,,,,,,,4.0,,
471588,1.0,,,,,4.0,,,3.0,,,,
390096,,,,,,,4.0,,2.0,1.0,4.0,,
607876,,,,,,,,,,4.0,,,
249950,3.0,4.0,,,1.0,,1.0,1.0,,1.0,1.0,,
792216,,5.0,,2.0,3.0,,,4.0,,3.0,,,
45139,,,,3.0,,,,,,,,,
692176,,1.0,4.0,2.0,3.0,5.0,5.0,5.0,,1.0,,,
1224262,,,2.0,,,,,,,,5.0,4.0,
598094,,,,,,,,1.0,,,1.0,,
40039,3.0,,5.0,,,,,,,5.0,,,
1266148,1.0,,,,,,,,,,3.0,,
791422,1.0,,,1.0,,,,,,,,,
352150,,2.0,,,,3.0,,,1.0,,,3.0,
791436,,4.0,,,3.0,,,,,,,,
537878,,,5.0,1.0,,,,,,4.0,,5.0,
923184,,,,,3.0,,,1.0,,,,,
476256,,,,,,,,,,,,,
552504,4.0,,1.0,,3.0,,,5.0,4.0,1.0,,1.0,
537888,1.0,,1.0,,,,,,3.0,,,,
385686,,,,,,,1.0,,,,,4.0,
738900,,,,4.0,,,,,,,,,
57415,,,,3.0,,,,,,,,,
155344,,,,,,1.0,,3.0,,5.0,,,
42491,,,,,2.0,2.0,,4.0,,,,,
511952,,1.0,,,,,,3.0,,,,5.0,
530246,,,2.0,,,,,,,,,2.0,
862786,,,,5.0,,,1.0,,5.0,1.0,5.0,,
165122,,,1.0,4.0,,1.0,,,,,,,
530768,,,,,2.0,,2.0,,,,2.0,,
218416,,3.0,,,,,,,,,2.0,,
619296,,,,,,,,,1.0,2.0,,,
717278,,,,,,,,,2.0,,,,
445916,,,3.0,,,,,,,,,,
267984,,,5.0,,,,,,2.0,2.0,,,
180362,,4.0,,,,3.0,,,,,,,
364810,,,,,,3.0,,,,,5.0,3.0,
692722,,,,,,,2.0,,,,,,
298558,,,,2.0,4.0,,,,,4.0,,3.0,
480752,4.0,,,,,5.0,,,,2.0,,,
637922,,,4.0,,,,,,,,3.0,,
337320,,,,2.0,,,,,4.0,,,,
876646,,3.0,5.0,,1.0,,,,,,,,
529424,,5.0,,5.0,,,,,,1.0,,,
720814,4.0,,,,2.0,,,,,3.0,,,
515326,,,,,,4.0,,3.0,,4.0,,,
1218552,1.0,2.0,3.0,4.0,,,2.0,5.0,,4.0,2.0,4.0,
851106,,,,,,,,4.0,,,,,
429308,,,,,,,,3.0,3.0,,,,
302450,,,,,,,,3.0,2.0,,1.0,,
1117834,5.0,,4.0,,,,1.0,,,,,,
190816,2.0,,2.0,,,4.0,,,,,,,
244000,,,,,1.0,,,2.0,3.0,,,2.0,
429482,,,,,,,,,,,,,
831940,4.0,,,,,4.0,5.0,,,,,,
833770,,,,,,3.0,,,,,4.0,,
658764,4.0,,,,1.0,,,,,4.0,,,
707224,3.0,4.0,,2.0,,5.0,,,,,3.0,5.0,
64739,,2.0,2.0,,5.0,,1.0,2.0,,,,,
907716,,,,,,,,,,,4.0,,
1030976,,4.0,,1.0,,,,3.0,,,,,
722682,,,,,,4.0,,,4.0,4.0,,,
1122146,,,,,,5.0,,,,3.0,,,
808506,,,,3.0,,,,,,,2.0,,
673016,,,5.0,,3.0,,,,,,,,
358062,,,,,,,,,,,,,
372234,,,,,,,,,,,,,
822514,2.0,,,,,,,,4.0,,1.0,,
1045726,,,,,,,,,,5.0,,,
943426,,,5.0,,,3.0,,,1.0,,,,
46927,,1.0,,,2.0,4.0,,,,,,5.0,
567070,4.0,,,,4.0,,,,5.0,,,,
867440,,,,,5.0,,,,5.0,,,2.0,
501996,,2.0,,,,,2.0,,,,,,
1103590,,1.0,,5.0,4.0,,,,,,,,
1172370,1.0,,5.0,,1.0,,2.0,,,1.0,4.0,,
673702,,,4.0,,,,1.0,,,,,4.0,
821108,3.0,,,1.0,,,,,,,3.0,5.0,
863998,,,,3.0,1.0,,,,,,,,
822926,4.0,2.0,,,2.0,,,,4.0,,,,
666254,,5.0,,,4.0,,,2.0,,3.0,,,
421546,4.0,,,,,1.0,5.0,,,1.0,,2.0,
518886,,,,,3.0,5.0,,,2.0,,4.0,,
868128,,,,,4.0,,,4.0,,,3.0,,
986034,3.0,2.0,,,,,,,,1.0,4.0,,
42642,1.0,,,,,3.0,,,,5.0,4.0,,
471428,,2.0,4.0,,,,,,,,,,
600206,,,3.0,,,,,,,,,5.0,
283780,,,,,4.0,5.0,,,,,4.0,,
52118,,,,,,,,,1.0,2.0,3.0,,
42640,4.0,,,,,,,,,,,1.0,
767256,,2.0,,,,,,2.0,,,4.0,,
843854,,,,,2.0,4.0,1.0,1.0,1.0,,,,
247558,,3.0,,3.0,,,,,,1.0,5.0,,
696616,3.0,3.0,,,,2.0,,,,,5.0,,
205810,,,,,,,,,5.0,2.0,,,
507486,,,,,,,,,1.0,5.0,,,
965306,,,4.0,4.0,,1.0,2.0,,4.0,,,,
1128662,1.0,,2.0,,,5.0,,3.0,2.0,,,,
1068986,,,1.0,,,,1.0,,5.0,,,,
627706,,,,,5.0,,,3.0,,3.0,,,
255280,,,,,,2.0,,,5.0,,,,
628944,,,,,,5.0,1.0,,,,,4.0,
537886,,,,3.0,,3.0,,,1.0,1.0,,5.0,
517938,5.0,5.0,3.0,,,,3.0,,,,5.0,,
779678,,3.0,,,,1.0,,4.0,,1.0,,5.0,
494330,,,,,,,4.0,,,,,,
153926,,,,,,,2.0,,,,2.0,,
806122,3.0,,4.0,4.0,2.0,,,,2.0,5.0,,,
725658,,,3.0,,2.0,,,,3.0,,,4.0,
1032234,,,1.0,,,5.0,,1.0,,,2.0,,
996542,,1.0,,3.0,,,,,,4.0,,,
756520,,3.0,,5.0,,,,,,,,,
768028,,,,,,,,,3.0,,,,
73030,,,,,,4.0,3.0,1.0,4.0,4.0,,3.0,
476880,3.0,,,,,,,,3.0,,2.0,,
773060,,,,,,1.0,,1.0,2.0,,,,
552058,,4.0,,,1.0,,,,,,,,
509512,,,,,,,,,3.0,,,2.0,
497236,,,,3.0,4.0,,,,1.0,,,,
471556,,2.0,,,,,,4.0,,,,1.0,
403602,3.0,,,1.0,,,,,,,3.0,3.0,
326948,,,4.0,4.0,,3.0,2.0,,,,,,
537896,,,2.0,,1.0,5.0,,,,4.0,,,
797762,,,,,,,3.0,,,,,,
674350,,,,,,,,,,,,1.0,
439362,,,,,3.0,,,,4.0,2.0,,,
42634,,,4.0,,,4.0,,1.0,5.0,,,1.0,
494800,,3.0,,2.0,,,,,,,,,
1222836,,,,,4.0,1.0,1.0,,,,,3.0,
990440,,,,,,,,,,3.0,,,
109988,,,,,2.0,,5.0,,,,,,
815482,3.0,,5.0,,,1.0,,,,4.0,,,
569436,,,,,,4.0,,,,,,,
803664,3.0,,,3.0,,,,,,,,2.0,
213154,,,3.0,4.0,,,,,,,,,
484132,,,,,5.0,,,4.0,,3.0,4.0,,
640062,3.0,4.0,,,5.0,,,,,,,,
363404,,,,,,,5.0,,,,,,
454724,,,5.0,,,,5.0,1.0,,,5.0,,
702278,,,5.0,,,,,,5.0,,,,
323196,,,1.0,2.0,1.0,,,,,,,,
1225686,,,,5.0,,,3.0,2.0,,,,,
443584,,,3.0,3.0,,,4.0,,,4.0,,3.0,
1034074,4.0,,,,,,2.0,5.0,,1.0,2.0,,
1209694,,,4.0,,5.0,,3.0,,,,,,
418732,5.0,2.0,,,,,,5.0,,,2.0,,
757450,,,1.0,2.0,,,,,,,,,
403468,,,,,,,,1.0,2.0,,,1.0,
761808,,4.0,,3.0,,,,,,1.0,,,
614510,,,,,,,5.0,5.0,3.0,,,5.0,
519776,,,,,,,,3.0,,,,,
805336,,1.0,,1.0,,,,3.0,,,,,
828254,,1.0,,2.0,5.0,,,,,,,,
471440,,,,,,,1.0,,,,1.0,,
478598,,3.0,,,,3.0,,,,,,,
394636,1.0,,,2.0,,,,,,,,,
512004,,,,,,,,,,2.0,,,
1194426,4.0,,,,,,,,,,1.0,,
538540,1.0,,4.0,,,3.0,2.0,,,,,,
406922,,,,,,,5.0,,,,2.0,4.0,
743914,,,,,,2.0,,,,4.0,4.0,,
419308,,,,,,,,,,3.0,2.0,3.0,
542028,,,,,,2.0,4.0,,,3.0,,,
482534,,1.0,,,,,,,,,2.0,,
716136,,5.0,1.0,,,3.0,,,,,,,
737514,,,3.0,,4.0,2.0,,2.0,,2.0,2.0,3.0,
471446,2.0,,5.0,,,,3.0,,,,5.0,,
920424,,1.0,3.0,2.0,,,1.0,2.0,,,,,
49886,1.0,,1.0,,,,,,,,,,
292462,,,,,2.0,,4.0,5.0,,,5.0,,
211874,,,,,3.0,,1.0,,,,5.0,,
754028,,2.0,,1.0,,5.0,1.0,,1.0,5.0,4.0,,
546924,,5.0,,,,2.0,3.0,4.0,3.0,,4.0,,
105972,,1.0,,,,4.0,,,5.0,,,,
556068,,2.0,,,,,,,,2.0,,,
1053272,,,,,,,,,3.0,4.0,,,
1273896,,,,,,,,,,,,,
317572,,,,,,,1.0,,,,3.0,,
738910,,,,,,,,1.0,3.0,,,,
1015274,,,5.0,,,,,,,2.0,,,
934574,5.0,,,,,1.0,,,1.0,5.0,4.0,,
1110470,,1.0,,,2.0,,,4.0,,,,,
988804,,,,1.0,1.0,,,1.0,,,,,
529718,,3.0,,,1.0,,,3.0,,4.0,,,
998872,,,,4.0,,,,,,,5.0,,
1023670,2.0,4.0,,2.0,4.0,,,,,4.0,4.0,,
571394,,,5.0,4.0,,,,,,3.0,3.0,,
637176,,,,,1.0,,2.0,,1.0,,4.0,,
677802,,,4.0,,5.0,,1.0,,,5.0,,,
1084642,4.0,,,,4.0,1.0,,,,,,4.0,
739390,,,,1.0,,,,,,,2.0,,
1134864,,5.0,,,,5.0,,,,,,4.0,
489146,,,,,1.0,,4.0,,,,,,
910650,5.0,3.0,5.0,,,,,4.0,,,,,
1079040,,,,,,,,,,2.0,,1.0,
109622,,,1.0,3.0,,,,,,,,,
881378,,1.0,,5.0,,,,,,,,4.0,
474150,,,,1.0,,,,,1.0,,,,
1046724,,,,,,,,,3.0,1.0,,,
1095116,,,,,,,4.0,,,,,,
233900,,,,5.0,,,1.0,,2.0,5.0,,,
116128,,4.0,,,,,,,4.0,,1.0,,
1249164,,,,1.0,,,3.0,1.0,,,,,
877106,,,,,1.0,,,2.0,1.0,1.0,,1.0,
65105,4.0,,,,,,,,5.0,1.0,,1.0,
889066,3.0,,5.0,,,4.0,,,,,,,
28172,2.0,,,,4.0,,,,2.0,,,,
257996,,,,,,,,,,,,,
811534,,3.0,,,,4.0,,,,3.0,,2.0,
95176,,,,,1.0,,3.0,,5.0,5.0,4.0,,
880564,5.0,3.0,4.0,,1.0,,2.0,,,,,,
613944,,,5.0,4.0,,,2.0,5.0,,,,,
1208148,,,3.0,,,,,,4.0,,,1.0,
24815,,,,3.0,2.0,,,,,,,,
736836,1.0,,3.0,,3.0,,,,,,,,
462474,5.0,,,,4.0,2.0,,,,,,,
73938,2.0,3.0,,,3.0,,,,,1.0,4.0,,
158444,5.0,,,,,4.0,,2.0,3.0,,,,
577198,5.0,,,,,,,1.0,,,4.0,4.0,
993160,,,,5.0,,4.0,4.0,5.0,,,,,
233294,,,,,,,5.0,,,,3.0,,
281844,,2.0,,,2.0,1.0,,,4.0,,3.0,1.0,
1072156,,,2.0,,,,,,2.0,,,,
607362,,,3.0,,5.0,,,,,5.0,,,
1069866,4.0,,1.0,,,,,,,,3.0,,
25794,1.0,,,,1.0,,,,,4.0,5.0,,
387348,,,1.0,,,,,5.0,,3.0,1.0,,
475912,4.0,,,,2.0,,3.0,,,,,,
332690,,,,,3.0,,,,3.0,,,,
830870,,,,,2.0,,,5.0,,,,,
199822,,,,,,,,,,1.0,,,
56058,,,,,,,,2.0,1.0,,,,
587232,3.0,,,,1.0,2.0,,,5.0,,,,
398798,,2.0,,,5.0,,,,,,4.0,,
130366,,3.0,,4.0,,,,,,,,,
530430,,,,4.0,,,,,,,,,
615204,,4.0,,,,1.0,,,,2.0,,,
441016,,,5.0,5.0,,1.0,,,,4.0,,3.0,
598722,,4.0,,5.0,,4.0,,,4.0,,,,
1225674,2.0,,,,,,,,,5.0,,2.0,
1167536,,1.0,,,,,,3.0,,,,,
979616,,,,3.0,,,,5.0,,,,,
528488,,,,1.0,,5.0,,,,,,,
832832,,5.0,2.0,3.0,4.0,,,,,,,,
256094,,,,,,,3.0,,1.0,,,1.0,
975074,3.0,,5.0,,,,,,,,2.0,2.0,
436488,,,,1.0,,,,,,4.0,,1.0,
72644,,,3.0,5.0,,4.0,,,,1.0,,3.0,
980408,,,,,,4.0,,,2.0,,2.0,,
343886,,,,2.0,,,,,,2.0,3.0,,
837322,,,,2.0,1.0,2.0,,,,,5.0,,
1157298,,4.0,,,,4.0,,,,3.0,3.0,5.0,
1282064,,,,4.0,,,,,5.0,,,,
1247992,4.0,,,,,,2.0,,3.0,,,,
1251582,,,,,,,,5.0,,,,,
1258666,,,,,2.0,,4.0,,,5.0,3.0,,
1168172,2.0,,,5.0,,,1.0,,,,2.0,,
1233314,,,,,,4.0,4.0,,,,,,
1276182,,,,,,5.0,,,,,,3.0,
1187084,,,,1.0,,,,,,,,5.0,
1084454,,,,4.0,,4.0,,,,,,,
885413,,3.0,,,,,,,,5.0,,,
178602,,2.0,2.0,2.0,2.0,,,,,,,,
601912,4.0,,,2.0,1.0,,,,,4.0,,,
831170,,,,,,,,,,,,,
327788,,,,3.0,4.0,,,,3.0,,,4.0,
324656,,5.0,,,,1.0,,1.0,,,,,
1220862,,,,,,,,5.0,,,,,
403628,,3.0,,3.0,,5.0,,,2.0,,,,
280842,,,2.0,,2.0,3.0,,,,,,,
306360,,1.0,,,2.0,,,4.0,2.0,,5.0,2.0,
521234,4.0,,,,,3.0,2.0,,,,,,
327962,,,,,,1.0,,,,,1.0,1.0,
790034,1.0,3.0,5.0,1.0,,,,,4.0,,,,
400976,,,,1.0,5.0,1.0,1.0,,4.0,3.0,,,
892446,4.0,,,,,,,,4.0,,1.0,,
322118,,,,,,,,,5.0,3.0,,5.0,
1029062,,1.0,,,,5.0,1.0,,,,,,
1048496,2.0,2.0,,,,,,,4.0,4.0,5.0,,
501502,,,,,,,,,,,,,
74004,,4.0,5.0,,,,,,,,,,
226084,,,,,,3.0,3.0,,1.0,5.0,1.0,,
968056,,,,,,,,4.0,,,,,
1107904,1.0,,,,4.0,2.0,,,,,1.0,,
691180,,1.0,,,4.0,,1.0,3.0,,,,,
843536,3.0,,,5.0,3.0,,,,1.0,,5.0,,
532836,,,,1.0,4.0,,,4.0,2.0,,,,
493014,,5.0,,,3.0,,5.0,2.0,,3.0,1.0,,
955748,,,,,,,,,3.0,5.0,3.0,,
49798,,2.0,1.0,,,,5.0,,3.0,,,5.0,
429662,,,,,,2.0,,,,,,4.0,
97338,4.0,,,,,2.0,,4.0,3.0,,,1.0,
510178,,,5.0,,,,,4.0,,,,,
1002282,,,,,,2.0,,,1.0,,,,
706670,2.0,,1.0,2.0,,,,4.0,,,,,
275294,5.0,,2.0,,,3.0,,4.0,,1.0,,,
594936,,,,,,1.0,,,,5.0,,,
521342,,,4.0,,3.0,,2.0,,,,3.0,,
828740,,,,1.0,,4.0,,,,,,2.0,
501960,,2.0,,,4.0,3.0,,,3.0,,,4.0,
486240,1.0,,4.0,2.0,,4.0,1.0,,4.0,,,,
869652,4.0,1.0,,,,3.0,3.0,,,,,,
1095700,1.0,,,,5.0,,1.0,,,3.0,4.0,,
169662,,,,5.0,,4.0,,,,,5.0,2.0,
1041522,,3.0,1.0,,,,,,5.0,,,5.0,
657130,,,,5.0,,1.0,,,,,5.0,2.0,
774570,,,,,4.0,,,,,5.0,,,
1078520,,,,,,,,5.0,,,,4.0,
999262,3.0,4.0,,,,2.0,,,,,,4.0,
100526,5.0,3.0,5.0,3.0,3.0,,,,,,4.0,3.0,
513046,,,,,,,,,,,,1.0,
309854,,,,,,,,,5.0,1.0,,,
580068,,1.0,2.0,,5.0,,5.0,2.0,,1.0,,,
304410,,,,1.0,,,,,5.0,,,2.0,
782256,,,,,,,4.0,,,,,,
826912,,,,4.0,,4.0,3.0,,,,,,
313512,,,,,,,,,,,,4.0,
759262,1.0,5.0,4.0,,,1.0,,,1.0,,,,
359926,,,,,,,4.0,,1.0,,,,
591724,,,5.0,5.0,,,,,,,4.0,2.0,
533458,,3.0,,,,,,,,,4.0,,
1064904,,,1.0,,,5.0,5.0,,,,,5.0,
484134,,3.0,1.0,,,,1.0,,,1.0,,5.0,
1046940,,,,,,,4.0,4.0,,,3.0,,
1107954,,,,,,,,,,5.0,,,
455452,,,,,,,4.0,,,,,,
1263966,3.0,,,,5.0,5.0,,,,,,,
658766,,,,,,1.0,3.0,,5.0,,,1.0,
927442,3.0,,,,,,,4.0,4.0,,,,
972126,,,,,,,,5.0,,,,,
1031696,,2.0,1.0,,1.0,,,,,,,,
742106,,,,,,5.0,,4.0,2.0,,,,
355374,4.0,5.0,,4.0,,,3.0,,,4.0,,,
529828,,3.0,,,4.0,,1.0,,,,,,
538560,,,,,,,2.0,3.0,,,,,
994666,,,,2.0,,,,,,,2.0,1.0,
389108,4.0,5.0,,,,,,,4.0,,,1.0,
38456,,,5.0,3.0,,,2.0,,,2.0,,,
282050,,4.0,,5.0,3.0,2.0,3.0,2.0,4.0,,3.0,,
607800,,,,,,2.0,,,1.0,,5.0,,
832410,,,,,,,,,5.0,2.0,,,
779000,,1.0,,,,,,,,,,4.0,
