,course_id,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,nishu314@gmail.com
107,680044,1.0,,,3.0,,,,1.0,,,,,
108,923616,1.0,4.0,1.0,,4.0,,4.0,,,,,,
109,741898,,5.0,,5.0,,,,,,,1.0,,
110,381330,,,,,,1.0,,,,,,3.0,
111,545918,,5.0,2.0,,,,3.0,5.0,4.0,,,,
112,191854,,,,,,,,,,1.0,5.0,,
113,471546,,,,,,,,2.0,,,3.0,,
114,866584,,,4.0,,,4.0,,2.0,,3.0,,4.0,
115,889824,,1.0,,,,1.0,,,,,,,
116,1191504,,2.0,,,,,,5.0,,1.0,,,
117,585752,2.0,,,4.0,4.0,,,,2.0,,,,
118,671578,,,,,,,,1.0,,3.0,3.0,,
119,151668,,,,,,,,,,,,,
120,1105344,,,,,4.0,,,,4.0,,,,
121,44836,,,,3.0,,,1.0,,,,5.0,2.0,
122,840300,3.0,1.0,,1.0,,,,2.0,,3.0,,,
123,1100054,1.0,,,2.0,,,,,,,,,
124,421054,,,3.0,,,,,,,,5.0,,
125,528784,4.0,,2.0,,,2.0,1.0,,,1.0,,,
126,637430,,1.0,,,,,4.0,,2.0,,,,
127,236080,4.0,,,,,2.0,,5.0,,,,,
128,777444,1.0,3.0,,4.0,,,,5.0,,,,3.0,
129,474238,,,1.0,4.0,,,,,,,,,
130,1245244,,,2.0,,3.0,,,,,,2.0,4.0,
131,1051570,,,,,,,3.0,,,,,,
132,262370,2.0,,,,,2.0,,,,,,,
133,1188178,,,,,,,1.0,,,1.0,,,
134,824592,4.0,,,3.0,,1.0,3.0,5.0,4.0,,,,
135,1147458,,1.0,,,,3.0,3.0,2.0,,,,,
136,1243448,,2.0,,,,,,2.0,,,3.0,4.0,
137,730414,,,,,,4.0,1.0,1.0,,,,,
138,252396,,,4.0,,,,,,2.0,,4.0,,
139,1198166,,,2.0,,,,3.0,4.0,,,,,
140,920604,,5.0,,,2.0,1.0,,4.0,5.0,,,3.0,
141,215728,,,1.0,,,,,,,5.0,,,
142,722174,4.0,,,,1.0,,,,4.0,5.0,,1.0,
143,48841,,,,,5.0,,,,3.0,,,,
144,907444,4.0,1.0,,3.0,,,,3.0,,,5.0,,
145,317030,5.0,,3.0,5.0,,,,,,,,,
146,891490,3.0,,5.0,,3.0,,,,5.0,1.0,,,
147,1070886,,,,,2.0,,,,2.0,,,,
148,812616,3.0,,,,,,,,,,,,
149,407984,,,,5.0,,,,4.0,,,,2.0,
150,214046,,,,,,,,,,,,1.0,
151,512400,,1.0,,2.0,,,,,,,5.0,,
152,377370,,5.0,,,,,,,,,,,
153,1175694,,,,,,4.0,,,,,,,
154,945750,,,,,,,,,4.0,,,5.0,
155,1085580,,,,4.0,,,,3.0,,,,,
156,1188410,,,4.0,,,,,,,,,,
157,402836,,,3.0,,,,,,1.0,,,,
158,588764,,,,,,5.0,,,,,,,
159,576946,5.0,,,,,,3.0,,,,1.0,,
160,543242,,2.0,,,,3.0,,,,,5.0,,
161,502240,,,,,4.0,,,,,,,,
162,598266,,3.0,,,1.0,,,1.0,,5.0,,4.0,
163,814068,,4.0,,,,,2.0,1.0,,,,,
164,1076920,,,,,,,,5.0,,,,3.0,
165,1103272,,,,,,,,,,,,,
166,441112,,,,,,,,,1.0,,5.0,,
167,1022108,,,5.0,,3.0,,,,2.0,,,,
168,1028030,,,,,1.0,,,,5.0,,,,
169,1018380,,,,,,,3.0,5.0,4.0,,,,
170,575676,4.0,,3.0,,,5.0,,,,,,5.0,
171,1105216,5.0,,,,,,,,,,,,
172,936328,,4.0,,,3.0,,,,,,,,
173,43441,,4.0,,,,,,,,,,,
174,1103718,,,,,3.0,,2.0,,,,,,
175,584410,5.0,,,5.0,,3.0,2.0,,,4.0,,,
176,625568,5.0,,,,,,5.0,,5.0,,2.0,,
177,297742,,,,4.0,,,,4.0,,4.0,,,
178,24877,5.0,,,4.0,,,,,,3.0,,2.0,
179,1188742,3.0,,,,,,,,,,,,
180,597716,,,,,,3.0,,,,3.0,,,
181,415802,,,,,,1.0,,,4.0,5.0,,,
182,323950,,,,,,,3.0,,,,,5.0,
183,488818,4.0,,,,,,,,,,,,
184,610890,,,,1.0,,4.0,,5.0,,,,4.0,
185,638980,4.0,,,,3.0,,,4.0,,,,,
186,599684,,,,,,,,3.0,,,,,
187,332848,,,,,2.0,,5.0,,,,,,
188,354324,4.0,,,,3.0,,,,1.0,4.0,3.0,,
189,379682,,,,1.0,,,,3.0,,,,,
190,319020,,,,,,,,,,,5.0,,
191,713258,,1.0,,,5.0,,,,,2.0,,2.0,
192,537884,,1.0,,,,,,,,,,3.0,
193,919906,,,,3.0,,,,,,,,,
194,46010,,,,,5.0,,,3.0,,,2.0,2.0,
195,777932,,,,,,,,5.0,,,,,
196,773934,,2.0,,,,,,4.0,4.0,,,,
197,221306,2.0,,,2.0,,,,4.0,4.0,,,,
198,830994,,,,,,,2.0,4.0,3.0,,,,
199,723510,,,4.0,4.0,4.0,,,3.0,5.0,,,,
200,42643,,,3.0,,,,3.0,,,,,2.0,
201,411778,,,,2.0,,3.0,,2.0,,5.0,5.0,1.0,
202,366514,,,,,,,,,,,4.0,,
203,471588,1.0,,,,,4.0,,,3.0,,,,
204,390096,,,,,,,4.0,,2.0,1.0,4.0,,
205,607876,,,,,,,,,,4.0,,,
206,249950,3.0,4.0,,,1.0,,1.0,1.0,,1.0,1.0,,
207,792216,,5.0,,2.0,3.0,,,4.0,,3.0,,,
208,45139,,,,3.0,,,,,,,,,
209,692176,,1.0,4.0,2.0,3.0,5.0,5.0,5.0,,1.0,,,
210,1224262,,,2.0,,,,,,,,5.0,4.0,
211,598094,,,,,,,,1.0,,,1.0,,
212,40039,3.0,,5.0,,,,,,,5.0,,,
213,1266148,1.0,,,,,,,,,,3.0,,
214,791422,1.0,,,1.0,,,,,,,,,
215,352150,,2.0,,,,3.0,,,1.0,,,3.0,
216,791436,,4.0,,,3.0,,,,,,,,
217,537878,,,5.0,1.0,,,,,,4.0,,5.0,
218,923184,,,,,3.0,,,1.0,,,,,
219,476256,,,,,,,,,,,,,
220,552504,4.0,,1.0,,3.0,,,5.0,4.0,1.0,,1.0,
221,537888,1.0,,1.0,,,,,,3.0,,,,
222,385686,,,,,,,1.0,,,,,4.0,
223,738900,,,,4.0,,,,,,,,,
224,57415,,,,3.0,,,,,,,,,
225,155344,,,,,,1.0,,3.0,,5.0,,,
226,42491,,,,,2.0,2.0,,4.0,,,,,
227,511952,,1.0,,,,,,3.0,,,,5.0,
228,530246,,,2.0,,,,,,,,,2.0,
229,862786,,,,5.0,,,1.0,,5.0,1.0,5.0,,
230,165122,,,1.0,4.0,,1.0,,,,,,,
231,530768,,,,,2.0,,2.0,,,,2.0,,
232,218416,,3.0,,,,,,,,,2.0,,
233,619296,,,,,,,,,1.0,2.0,,,
234,717278,,,,,,,,,2.0,,,,
235,445916,,,3.0,,,,,,,,,,
236,267984,,,5.0,,,,,,2.0,2.0,,,
237,180362,,4.0,,,,3.0,,,,,,,
238,364810,,,,,,3.0,,,,,5.0,3.0,
239,692722,,,,,,,2.0,,,,,,
240,298558,,,,2.0,4.0,,,,,4.0,,3.0,
241,480752,4.0,,,,,5.0,,,,2.0,,,
242,637922,,,4.0,,,,,,,,3.0,,
243,337320,,,,2.0,,,,,4.0,,,,
244,876646,,3.0,5.0,,1.0,,,,,,,,
245,529424,,5.0,,5.0,,,,,,1.0,,,
246,720814,4.0,,,,2.0,,,,,3.0,,,
247,515326,,,,,,4.0,,3.0,,4.0,,,
248,1218552,1.0,2.0,3.0,4.0,,,2.0,5.0,,4.0,2.0,4.0,
249,851106,,,,,,,,4.0,,,,,
250,429308,,,,,,,,3.0,3.0,,,,
251,302450,,,,,,,,3.0,2.0,,1.0,,
252,1117834,5.0,,4.0,,,,1.0,,,,,,
253,190816,2.0,,2.0,,,4.0,,,,,,,
254,244000,,,,,1.0,,,2.0,3.0,,,2.0,
255,429482,,,,,,,,,,,,,
256,831940,4.0,,,,,4.0,5.0,,,,,,
257,833770,,,,,,3.0,,,,,4.0,,
258,658764,4.0,,,,1.0,,,,,4.0,,,
259,707224,3.0,4.0,,2.0,,5.0,,,,,3.0,5.0,
260,64739,,2.0,2.0,,5.0,,1.0,2.0,,,,,
261,907716,,,,,,,,,,,4.0,,
262,1030976,,4.0,,1.0,,,,3.0,,,,,
263,722682,,,,,,4.0,,,4.0,4.0,,,
264,1122146,,,,,,5.0,,,,3.0,,,
265,808506,,,,3.0,,,,,,,2.0,,
266,673016,,,5.0,,3.0,,,,,,,,
267,358062,,,,,,,,,,,,,
268,372234,,,,,,,,,,,,,
269,822514,2.0,,,,,,,,4.0,,1.0,,
270,1045726,,,,,,,,,,5.0,,,
271,943426,,,5.0,,,3.0,,,1.0,,,,
272,46927,,1.0,,,2.0,4.0,,,,,,5.0,
273,567070,4.0,,,,4.0,,,,5.0,,,,
274,867440,,,,,5.0,,,,5.0,,,2.0,
275,501996,,2.0,,,,,2.0,,,,,,
276,1103590,,1.0,,5.0,4.0,,,,,,,,
277,1172370,1.0,,5.0,,1.0,,2.0,,,1.0,4.0,,
278,673702,,,4.0,,,,1.0,,,,,4.0,
279,821108,3.0,,,1.0,,,,,,,3.0,5.0,
280,863998,,,,3.0,1.0,,,,,,,,
281,822926,4.0,2.0,,,2.0,,,,4.0,,,,
282,666254,,5.0,,,4.0,,,2.0,,3.0,,,
283,421546,4.0,,,,,1.0,5.0,,,1.0,,2.0,
284,518886,,,,,3.0,5.0,,,2.0,,4.0,,
285,868128,,,,,4.0,,,4.0,,,3.0,,
286,986034,3.0,2.0,,,,,,,,1.0,4.0,,
287,42642,1.0,,,,,3.0,,,,5.0,4.0,,
288,471428,,2.0,4.0,,,,,,,,,,
289,600206,,,3.0,,,,,,,,,5.0,
290,283780,,,,,4.0,5.0,,,,,4.0,,
291,52118,,,,,,,,,1.0,2.0,3.0,,
292,42640,4.0,,,,,,,,,,,1.0,
293,767256,,2.0,,,,,,2.0,,,4.0,,
294,843854,,,,,2.0,4.0,1.0,1.0,1.0,,,,
295,247558,,3.0,,3.0,,,,,,1.0,5.0,,
296,696616,3.0,3.0,,,,2.0,,,,,5.0,,
297,205810,,,,,,,,,5.0,2.0,,,
298,507486,,,,,,,,,1.0,5.0,,,
299,965306,,,4.0,4.0,,1.0,2.0,,4.0,,,,
300,1128662,1.0,,2.0,,,5.0,,3.0,2.0,,,,
301,1068986,,,1.0,,,,1.0,,5.0,,,,
302,627706,,,,,5.0,,,3.0,,3.0,,,
303,255280,,,,,,2.0,,,5.0,,,,
304,628944,,,,,,5.0,1.0,,,,,4.0,
305,537886,,,,3.0,,3.0,,,1.0,1.0,,5.0,
306,517938,5.0,5.0,3.0,,,,3.0,,,,5.0,,
307,779678,,3.0,,,,1.0,,4.0,,1.0,,5.0,
308,494330,,,,,,,4.0,,,,,,
309,153926,,,,,,,2.0,,,,2.0,,
310,806122,3.0,,4.0,4.0,2.0,,,,2.0,5.0,,,
311,725658,,,3.0,,2.0,,,,3.0,,,4.0,
312,1032234,,,1.0,,,5.0,,1.0,,,2.0,,
313,996542,,1.0,,3.0,,,,,,4.0,,,
314,756520,,3.0,,5.0,,,,,,,,,
315,768028,,,,,,,,,3.0,,,,
316,73030,,,,,,4.0,3.0,1.0,4.0,4.0,,3.0,
317,476880,3.0,,,,,,,,3.0,,2.0,,
318,773060,,,,,,1.0,,1.0,2.0,,,,
319,552058,,4.0,,,1.0,,,,,,,,
320,509512,,,,,,,,,3.0,,,2.0,
321,497236,,,,3.0,4.0,,,,1.0,,,,
322,471556,,2.0,,,,,,4.0,,,,1.0,
323,403602,3.0,,,1.0,,,,,,,3.0,3.0,
324,326948,,,4.0,4.0,,3.0,2.0,,,,,,
325,537896,,,2.0,,1.0,5.0,,,,4.0,,,
326,797762,,,,,,,3.0,,,,,,
327,674350,,,,,,,,,,,,1.0,
328,439362,,,,,3.0,,,,4.0,2.0,,,
329,42634,,,4.0,,,4.0,,1.0,5.0,,,1.0,
330,494800,,3.0,,2.0,,,,,,,,,
331,1222836,,,,,4.0,1.0,1.0,,,,,3.0,
332,990440,,,,,,,,,,3.0,,,
333,109988,,,,,2.0,,5.0,,,,,,
334,815482,3.0,,5.0,,,1.0,,,,4.0,,,
335,569436,,,,,,4.0,,,,,,,
336,803664,3.0,,,3.0,,,,,,,,2.0,
337,213154,,,3.0,4.0,,,,,,,,,
338,484132,,,,,5.0,,,4.0,,3.0,4.0,,
339,640062,3.0,4.0,,,5.0,,,,,,,,
340,363404,,,,,,,5.0,,,,,,
341,454724,,,5.0,,,,5.0,1.0,,,5.0,,
342,702278,,,5.0,,,,,,5.0,,,,
343,323196,,,1.0,2.0,1.0,,,,,,,,
344,1225686,,,,5.0,,,3.0,2.0,,,,,
345,443584,,,3.0,3.0,,,4.0,,,4.0,,3.0,
346,1034074,4.0,,,,,,2.0,5.0,,1.0,2.0,,
347,1209694,,,4.0,,5.0,,3.0,,,,,,
348,418732,5.0,2.0,,,,,,5.0,,,2.0,,
349,757450,,,1.0,2.0,,,,,,,,,
350,403468,,,,,,,,1.0,2.0,,,1.0,
351,761808,,4.0,,3.0,,,,,,1.0,,,
352,614510,,,,,,,5.0,5.0,3.0,,,5.0,
353,519776,,,,,,,,3.0,,,,,
354,805336,,1.0,,1.0,,,,3.0,,,,,
355,828254,,1.0,,2.0,5.0,,,,,,,,
356,471440,,,,,,,1.0,,,,1.0,,
357,478598,,3.0,,,,3.0,,,,,,,
358,394636,1.0,,,2.0,,,,,,,,,
359,512004,,,,,,,,,,2.0,,,
360,1194426,4.0,,,,,,,,,,1.0,,
361,538540,1.0,,4.0,,,3.0,2.0,,,,,,
362,406922,,,,,,,5.0,,,,2.0,4.0,
363,743914,,,,,,2.0,,,,4.0,4.0,,
364,419308,,,,,,,,,,3.0,2.0,3.0,
365,542028,,,,,,2.0,4.0,,,3.0,,,
366,482534,,1.0,,,,,,,,,2.0,,
367,716136,,5.0,1.0,,,3.0,,,,,,,
368,737514,,,3.0,,4.0,2.0,,2.0,,2.0,2.0,3.0,
369,471446,2.0,,5.0,,,,3.0,,,,5.0,,
370,920424,,1.0,3.0,2.0,,,1.0,2.0,,,,,
371,49886,1.0,,1.0,,,,,,,,,,
372,292462,,,,,2.0,,4.0,5.0,,,5.0,,
373,211874,,,,,3.0,,1.0,,,,5.0,,
374,754028,,2.0,,1.0,,5.0,1.0,,1.0,5.0,4.0,,
375,546924,,5.0,,,,2.0,3.0,4.0,3.0,,4.0,,
376,105972,,1.0,,,,4.0,,,5.0,,,,
377,556068,,2.0,,,,,,,,2.0,,,
378,1053272,,,,,,,,,3.0,4.0,,,
379,1273896,,,,,,,,,,,,,
380,317572,,,,,,,1.0,,,,3.0,,
381,738910,,,,,,,,1.0,3.0,,,,
382,1015274,,,5.0,,,,,,,2.0,,,
383,934574,5.0,,,,,1.0,,,1.0,5.0,4.0,,
384,1110470,,1.0,,,2.0,,,4.0,,,,,
385,988804,,,,1.0,1.0,,,1.0,,,,,
386,529718,,3.0,,,1.0,,,3.0,,4.0,,,
387,998872,,,,4.0,,,,,,,5.0,,
388,1023670,2.0,4.0,,2.0,4.0,,,,,4.0,4.0,,
389,571394,,,5.0,4.0,,,,,,3.0,3.0,,
390,637176,,,,,1.0,,2.0,,1.0,,4.0,,
391,677802,,,4.0,,5.0,,1.0,,,5.0,,,
392,1084642,4.0,,,,4.0,1.0,,,,,,4.0,
393,739390,,,,1.0,,,,,,,2.0,,
394,1134864,,5.0,,,,5.0,,,,,,4.0,
395,489146,,,,,1.0,,4.0,,,,,,
396,910650,5.0,3.0,5.0,,,,,4.0,,,,,
397,1079040,,,,,,,,,,2.0,,1.0,
398,109622,,,1.0,3.0,,,,,,,,,
399,881378,,1.0,,5.0,,,,,,,,4.0,
400,474150,,,,1.0,,,,,1.0,,,,
401,1046724,,,,,,,,,3.0,1.0,,,
402,1095116,,,,,,,4.0,,,,,,
403,233900,,,,5.0,,,1.0,,2.0,5.0,,,
404,116128,,4.0,,,,,,,4.0,,1.0,,
405,1249164,,,,1.0,,,3.0,1.0,,,,,
406,877106,,,,,1.0,,,2.0,1.0,1.0,,1.0,
407,65105,4.0,,,,,,,,5.0,1.0,,1.0,
408,889066,3.0,,5.0,,,4.0,,,,,,,
409,28172,2.0,,,,4.0,,,,2.0,,,,
410,257996,,,,,,,,,,,,,
411,811534,,3.0,,,,4.0,,,,3.0,,2.0,
412,95176,,,,,1.0,,3.0,,5.0,5.0,4.0,,
413,880564,5.0,3.0,4.0,,1.0,,2.0,,,,,,
414,613944,,,5.0,4.0,,,2.0,5.0,,,,,
415,1208148,,,3.0,,,,,,4.0,,,1.0,
416,24815,,,,3.0,2.0,,,,,,,,
417,736836,1.0,,3.0,,3.0,,,,,,,,
418,462474,5.0,,,,4.0,2.0,,,,,,,
419,73938,2.0,3.0,,,3.0,,,,,1.0,4.0,,
420,158444,5.0,,,,,4.0,,2.0,3.0,,,,
421,577198,5.0,,,,,,,1.0,,,4.0,4.0,
422,993160,,,,5.0,,4.0,4.0,5.0,,,,,
423,233294,,,,,,,5.0,,,,3.0,,
424,281844,,2.0,,,2.0,1.0,,,4.0,,3.0,1.0,
425,1072156,,,2.0,,,,,,2.0,,,,
426,607362,,,3.0,,5.0,,,,,5.0,,,
427,1069866,4.0,,1.0,,,,,,,,3.0,,
428,25794,1.0,,,,1.0,,,,,4.0,5.0,,
429,387348,,,1.0,,,,,5.0,,3.0,1.0,,
430,475912,4.0,,,,2.0,,3.0,,,,,,
431,332690,,,,,3.0,,,,3.0,,,,
432,830870,,,,,2.0,,,5.0,,,,,
433,199822,,,,,,,,,,1.0,,,
434,56058,,,,,,,,2.0,1.0,,,,
435,587232,3.0,,,,1.0,2.0,,,5.0,,,,
436,398798,,2.0,,,5.0,,,,,,4.0,,
437,130366,,3.0,,4.0,,,,,,,,,
438,530430,,,,4.0,,,,,,,,,
439,615204,,4.0,,,,1.0,,,,2.0,,,
440,441016,,,5.0,5.0,,1.0,,,,4.0,,3.0,
441,598722,,4.0,,5.0,,4.0,,,4.0,,,,
442,1225674,2.0,,,,,,,,,5.0,,2.0,
443,1167536,,1.0,,,,,,3.0,,,,,
444,979616,,,,3.0,,,,5.0,,,,,
445,528488,,,,1.0,,5.0,,,,,,,
446,832832,,5.0,2.0,3.0,4.0,,,,,,,,
447,256094,,,,,,,3.0,,1.0,,,1.0,
448,975074,3.0,,5.0,,,,,,,,2.0,2.0,
449,436488,,,,1.0,,,,,,4.0,,1.0,
450,72644,,,3.0,5.0,,4.0,,,,1.0,,3.0,
451,980408,,,,,,4.0,,,2.0,,2.0,,
452,343886,,,,2.0,,,,,,2.0,3.0,,
453,837322,,,,2.0,1.0,2.0,,,,,5.0,,
454,1157298,,4.0,,,,4.0,,,,3.0,3.0,5.0,
455,1282064,,,,4.0,,,,,5.0,,,,
456,1247992,4.0,,,,,,2.0,,3.0,,,,
457,1251582,,,,,,,,5.0,,,,,
458,1258666,,,,,2.0,,4.0,,,5.0,3.0,,
459,1168172,2.0,,,5.0,,,1.0,,,,2.0,,
460,1233314,,,,,,4.0,4.0,,,,,,
461,1276182,,,,,,5.0,,,,,,3.0,
462,1187084,,,,1.0,,,,,,,,5.0,
463,1084454,,,,4.0,,4.0,,,,,,,
464,885413,,3.0,,,,,,,,5.0,,,
465,178602,,2.0,2.0,2.0,2.0,,,,,,,,
466,601912,4.0,,,2.0,1.0,,,,,4.0,,,
467,831170,,,,,,,,,,,,,
468,327788,,,,3.0,4.0,,,,3.0,,,4.0,
469,324656,,5.0,,,,1.0,,1.0,,,,,
470,1220862,,,,,,,,5.0,,,,,
471,403628,,3.0,,3.0,,5.0,,,2.0,,,,
472,280842,,,2.0,,2.0,3.0,,,,,,,
473,306360,,1.0,,,2.0,,,4.0,2.0,,5.0,2.0,
474,521234,4.0,,,,,3.0,2.0,,,,,,
475,327962,,,,,,1.0,,,,,1.0,1.0,
476,790034,1.0,3.0,5.0,1.0,,,,,4.0,,,,
477,400976,,,,1.0,5.0,1.0,1.0,,4.0,3.0,,,
478,892446,4.0,,,,,,,,4.0,,1.0,,
479,322118,,,,,,,,,5.0,3.0,,5.0,
480,1029062,,1.0,,,,5.0,1.0,,,,,,
481,1048496,2.0,2.0,,,,,,,4.0,4.0,5.0,,
482,501502,,,,,,,,,,,,,
483,74004,,4.0,5.0,,,,,,,,,,
484,226084,,,,,,3.0,3.0,,1.0,5.0,1.0,,
485,968056,,,,,,,,4.0,,,,,
486,1107904,1.0,,,,4.0,2.0,,,,,1.0,,
487,691180,,1.0,,,4.0,,1.0,3.0,,,,,
488,843536,3.0,,,5.0,3.0,,,,1.0,,5.0,,
489,532836,,,,1.0,4.0,,,4.0,2.0,,,,
490,493014,,5.0,,,3.0,,5.0,2.0,,3.0,1.0,,
491,955748,,,,,,,,,3.0,5.0,3.0,,
492,49798,,2.0,1.0,,,,5.0,,3.0,,,5.0,
493,429662,,,,,,2.0,,,,,,4.0,
494,97338,4.0,,,,,2.0,,4.0,3.0,,,1.0,
495,510178,,,5.0,,,,,4.0,,,,,
496,1002282,,,,,,2.0,,,1.0,,,,
497,706670,2.0,,1.0,2.0,,,,4.0,,,,,
498,275294,5.0,,2.0,,,3.0,,4.0,,1.0,,,
499,594936,,,,,,1.0,,,,5.0,,,
500,521342,,,4.0,,3.0,,2.0,,,,3.0,,
501,828740,,,,1.0,,4.0,,,,,,2.0,
502,501960,,2.0,,,4.0,3.0,,,3.0,,,4.0,
503,486240,1.0,,4.0,2.0,,4.0,1.0,,4.0,,,,
504,869652,4.0,1.0,,,,3.0,3.0,,,,,,
505,1095700,1.0,,,,5.0,,1.0,,,3.0,4.0,,
506,169662,,,,5.0,,4.0,,,,,5.0,2.0,
